player_name,name_adjusted,event_name,course_name,h1,h2,h3,h4,h1_year,h2_year,h3_year,h4_year,rf1,rf2,rf3,rf4,rf5,rf6,rf7,cut_streak,avg_finish_course,starts_at_course,value,value_avg,value_rank,salary,s1,s2,s3,s4,s5,key_stat_1,key_stat_2,key_stat_3,key_stat_4,key_stat_5,ch_rank
"Scheffler, Scottie","Scheffler, Scottie",TOUR Championship,East Lake Golf Club,4,1,6,2,2025,2024,2023,2022,12 (+1.47),1 (+1.90),2 (+3.51),4 (+2.47),CUT (+1.47),2 (+2.08),4 (+2.28),4,3.25,6,15.18,2.17,1,,2.0,1.0,23.0,,1.0,TOTAL DRIVING,BALL STRIKING,PAR 5 SCORING,BIRDIE TO BOGEY RATIO,STROKES GAINED TEE TO GREEN,1.0
"Schauffele, Xander","Schauffele, Xander",TOUR Championship,East Lake Golf Club,—,4,2,4,2025,2024,2023,2022,26 (+0.77),7 (+0.89),2 (+3.20),18 (+2.10),CUT (+1.54),51 (+1.10),11 (+2.74),4,3.3333333333333335,6,12.34,1.76,2,,3.0,4.0,22.0,,12.0,TOTAL DRIVING,BALL STRIKING,PAR 5 SCORING,BIRDIE TO BOGEY RATIO,STROKES GAINED TEE TO GREEN,2.0
"Fleetwood, Tommy","Fleetwood, Tommy",TOUR Championship,East Lake Golf Club,1,20,6,—,2025,2024,2023,2022,47 (+0.97),7 (+1.27),4 (+1.94),13 (+1.70),14 (+1.35),11 (+1.89),11 (+2.46),8,9.0,4,11.59,1.66,3,,11.0,16.0,25.0,,5.0,TOTAL DRIVING,BALL STRIKING,PAR 5 SCORING,BIRDIE TO BOGEY RATIO,STROKES GAINED TEE TO GREEN,6.0
"McIlroy, Rory","McIlroy, Rory",TOUR Championship,East Lake Golf Club,23,9,4,1,2025,2024,2023,2022,3 (+1.35),66 (-0.19),40 (+1.89),7 (+2.95),32 (+2.35),12 (+1.43),7 (+1.76),10,9.25,7,11.55,1.65,4,,21.0,17.0,14.0,,6.0,TOTAL DRIVING,BALL STRIKING,PAR 5 SCORING,BIRDIE TO BOGEY RATIO,STROKES GAINED TEE TO GREEN,7.0
"Cantlay, Patrick","Cantlay, Patrick",TOUR Championship,East Lake Golf Club,2,17,5,7,2025,2024,2023,2022,2 (+1.42),12 (+1.33),8 (+2.26),28 (+1.18),CUT (+1.27),14 (+1.84),CUT (+1.58),4,7.75,6,10.88,1.55,5,,22.0,15.0,18.0,,4.0,TOTAL DRIVING,BALL STRIKING,PAR 5 SCORING,BIRDIE TO BOGEY RATIO,STROKES GAINED TEE TO GREEN,5.0
"Hovland, Viktor","Hovland, Viktor",TOUR Championship,East Lake Golf Club,12,12,1,15,2025,2024,2023,2022,33 (+0.79),19 (+1.12),CUT (+0.94),13 (+1.10),1 (+1.33),CUT (+1.68),3 (+2.75),2,10.0,6,9.71,1.39,6,,10.0,20.0,17.0,,18.0,TOTAL DRIVING,BALL STRIKING,PAR 5 SCORING,BIRDIE TO BOGEY RATIO,STROKES GAINED TEE TO GREEN,8.0
"MacIntyre, Robert","MacIntyre, Robert",TOUR Championship,East Lake Golf Club,17,17,—,—,2025,2024,2023,2022,7 (+1.91),WD (-0.57),28 (+1.25),3 (+1.99),10 (+1.13),39 (+0.95),15 (+2.15),1,17.0,2,8.81,1.26,7,,27.0,27.0,4.0,,28.0,TOTAL DRIVING,BALL STRIKING,PAR 5 SCORING,BIRDIE TO BOGEY RATIO,STROKES GAINED TEE TO GREEN,16.0
"Fitzpatrick, Matt","Fitzpatrick, Matt",TOUR Championship,East Lake Golf Club,—,—,9,15,2025,2024,2023,2022,28 (+0.45),12 (+0.15),CUT (+1.21),3 (+2.23),4 (+0.77),22 (+1.59),2 (+2.36),2,12.0,2,8.76,1.25,8,,8.0,2.0,27.0,,3.0,TOTAL DRIVING,BALL STRIKING,PAR 5 SCORING,BIRDIE TO BOGEY RATIO,STROKES GAINED TEE TO GREEN,11.0
"Burns, Sam","Burns, Sam",TOUR Championship,East Lake Golf Club,7,12,9,24,2025,2024,2023,2022,28 (+1.37),3 (+0.76),3 (+0.96),12 (+0.62),2 (+2.17),20 (+2.36),4 (+0.36),14,13.0,5,8.6,1.23,9,,18.0,11.0,2.0,,24.0,TOTAL DRIVING,BALL STRIKING,PAR 5 SCORING,BIRDIE TO BOGEY RATIO,STROKES GAINED TEE TO GREEN,13.0
"Aberg, Ludvig","Aberg, Ludvig",TOUR Championship,East Lake Golf Club,21,16,—,—,2025,2024,2023,2022,16 (+1.55),7 (+0.80),9 (+1.17),CUT (+1.55),55 (+0.14),17 (+1.91),39 (+0.86),3,18.5,2,7.99,1.14,10,,,,,,,TOTAL DRIVING,BALL STRIKING,PAR 5 SCORING,BIRDIE TO BOGEY RATIO,STROKES GAINED TEE TO GREEN,17.0
"Matsuyama, Hideki","Matsuyama, Hideki",TOUR Championship,East Lake Golf Club,29,9,—,11,2025,2024,2023,2022,28 (+0.66),7 (+1.16),7 (+1.01),5 (+1.50),3 (+1.64),14 (+0.96),14 (+1.02),27,16.333333333333332,6,7.96,1.14,11,,26.0,26.0,8.0,,14.0,TOTAL DRIVING,BALL STRIKING,PAR 5 SCORING,BIRDIE TO BOGEY RATIO,STROKES GAINED TEE TO GREEN,15.0
"Young, Cameron","Young, Cameron",TOUR Championship,East Lake Golf Club,4,—,—,19,2025,2024,2023,2022,37 (+0.10),39 (+0.57),61 (+2.07),8 (+2.09),2 (+2.57),47 (-0.04),43 (+0.55),25,11.5,2,7.91,1.13,12,,4.0,6.0,19.0,,7.0,TOTAL DRIVING,BALL STRIKING,PAR 5 SCORING,BIRDIE TO BOGEY RATIO,STROKES GAINED TEE TO GREEN,10.0
"Morikawa, Collin","Morikawa, Collin",TOUR Championship,East Lake Golf Club,19,2,6,21,2025,2024,2023,2022,4 (-0.32),52 (+0.20),18 (+1.47),3 (+0.64),17 (+1.93),29 (+1.51),55 (+1.70),14,12.0,6,7.13,1.02,13,,6.0,3.0,29.0,,8.0,TOTAL DRIVING,BALL STRIKING,PAR 5 SCORING,BIRDIE TO BOGEY RATIO,STROKES GAINED TEE TO GREEN,11.0
"Scott, Adam","Scott, Adam",TOUR Championship,East Lake Golf Club,—,4,—,25,2025,2024,2023,2022,16 (+0.81),12 (+1.26),9 (+0.98),66 (+1.07),65 (+0.31),CUT (+0.99),12 (+1.26),5,14.5,3,6.69,0.96,14,,12.0,7.0,7.0,,17.0,TOTAL DRIVING,BALL STRIKING,PAR 5 SCORING,BIRDIE TO BOGEY RATIO,STROKES GAINED TEE TO GREEN,14.0
"Henley, Russell","Henley, Russell",TOUR Championship,East Lake Golf Club,2,4,14,—,2025,2024,2023,2022,12 (+0.11),30 (+0.55),20 (+1.27),9 (+1.15),12 (+1.11),65 (+1.46),22 (+0.98),8,6.666666666666667,3,6.63,0.95,15,,25.0,21.0,6.0,,22.0,TOTAL DRIVING,BALL STRIKING,PAR 5 SCORING,BIRDIE TO BOGEY RATIO,STROKES GAINED TEE TO GREEN,4.0
"Kim, Tom","Kim, Tom",TOUR Championship,East Lake Golf Club,—,—,20,—,2025,2024,2023,2022,28 (+0.36),12 (+0.22),5 (+1.24),20 (+1.25),CUT (+0.67),1 (+2.33),46 (+0.51),4,20.0,1,6.58,0.94,16,,15.0,9.0,20.0,,13.0,TOTAL DRIVING,BALL STRIKING,PAR 5 SCORING,BIRDIE TO BOGEY RATIO,STROKES GAINED TEE TO GREEN,19.0
"Rose, Justin","Rose, Justin",TOUR Championship,East Lake Golf Club,21,—,—,—,2025,2024,2023,2022,22 (+0.72),39 (+0.75),CUT (+1.51),25 (-0.57),11 (+1.08),CUT (+1.85),12 (+0.64),2,21.0,2,5.97,0.85,17,,19.0,13.0,3.0,,23.0,TOTAL DRIVING,BALL STRIKING,PAR 5 SCORING,BIRDIE TO BOGEY RATIO,STROKES GAINED TEE TO GREEN,21.0
"Gotterup, Chris","Gotterup, Chris",TOUR Championship,East Lake Golf Club,10,—,—,—,2025,2024,2023,2022,4 (+0.39),30 (+0.47),CUT (+0.08),18 (+1.94),11 (+1.89),1 (+1.83),30 (-0.68),2,10.0,1,5.92,0.85,18,,24.0,19.0,12.0,,11.0,TOTAL DRIVING,BALL STRIKING,PAR 5 SCORING,BIRDIE TO BOGEY RATIO,STROKES GAINED TEE TO GREEN,8.0
"Clark, Wyndham","Clark, Wyndham",TOUR Championship,East Lake Golf Club,—,8,3,—,2025,2024,2023,2022,1 (+0.45),5 (+0.18),CUT (+0.67),CUT (+0.19),13 (+1.75),5 (+0.35),1 (+1.82),2,5.5,2,5.41,0.77,19,,23.0,25.0,1.0,,15.0,TOTAL DRIVING,BALL STRIKING,PAR 5 SCORING,BIRDIE TO BOGEY RATIO,STROKES GAINED TEE TO GREEN,3.0
