player_name,name_adjusted,event_name,course_name,h1,h2,h3,h4,h1_year,h2_year,h3_year,h4_year,rf1,rf2,rf3,rf4,rf5,rf6,rf7,cut_streak,avg_finish_course,starts_at_course,value,value_rank,salary,s1,s2,s3,s4,s5,key_stat_1,key_stat_2,key_stat_3,key_stat_4,key_stat_5,ch_rank
"Ghim, Doug","Ghim, Doug",Wyndham Championship,SEDGEFIELD,CUT,41,51,CUT,2025,2024,2023,2022,6,15,28,31,19,6,30,7,73.0,7,2.47,1,,69.0,20.0,6.0,16.0,74.0,STROKES GAINED APPROACH,BIRDIE OR BETTER %,BALL STRIKING,TOTAL DRIVING,PAR 5 SCORING,71.0
"Svensson, Jesper","Svensson, Jesper",Wyndham Championship,SEDGEFIELD,CUT,—,—,—,2025,2024,2023,2022,4,9,CUT,65,CUT,CUT,69,2,100.0,1,2.45,2,,107.0,24.0,52.0,26.0,37.0,STROKES GAINED APPROACH,BIRDIE OR BETTER %,BALL STRIKING,TOTAL DRIVING,PAR 5 SCORING,85.0
"Hodges, Lee","Hodges, Lee",Wyndham Championship,SEDGEFIELD,55,CUT,—,47,2025,2024,2023,2022,3,CUT,35,CUT,67,24,CUT,1,67.33333333333333,3,2.4,3,,47.0,30.0,19.0,34.0,20.0,STROKES GAINED APPROACH,BIRDIE OR BETTER %,BALL STRIKING,TOTAL DRIVING,PAR 5 SCORING,64.0
"Kohles, Ben","Kohles, Ben",Wyndham Championship,SEDGEFIELD,CUT,CUT,—,54,2025,2024,2023,2022,3,19,23,29,1,CUT,CUT,5,84.66666666666667,3,2.27,4,,1.0,2.0,14.0,42.0,124.0,STROKES GAINED APPROACH,BIRDIE OR BETTER %,BALL STRIKING,TOTAL DRIVING,PAR 5 SCORING,79.0
"Glover, Lucas","Glover, Lucas",Wyndham Championship,SEDGEFIELD,CUT,CUT,1,54,2025,2024,2023,2022,3,66,CUT,46,71,CUT,37,2,63.75,8,2.24,5,,35.0,117.0,53.0,50.0,116.0,STROKES GAINED APPROACH,BIRDIE OR BETTER %,BALL STRIKING,TOTAL DRIVING,PAR 5 SCORING,59.0
"Meissner, Mac","Meissner, Mac",Wyndham Championship,SEDGEFIELD,2,12,—,—,2025,2024,2023,2022,6,44,CUT,46,3,31,9,2,7.0,2,2.15,6,,43.0,11.0,79.0,92.0,66.0,STROKES GAINED APPROACH,BIRDIE OR BETTER %,BALL STRIKING,TOTAL DRIVING,PAR 5 SCORING,2.0
"Suber, Jackson","Suber, Jackson",Wyndham Championship,SEDGEFIELD,CUT,—,—,—,2025,2024,2023,2022,6,30,CUT,4,67,4,19,2,100.0,1,1.9,7,,12.0,14.0,32.0,62.0,62.0,STROKES GAINED APPROACH,BIRDIE OR BETTER %,BALL STRIKING,TOTAL DRIVING,PAR 5 SCORING,85.0
"Wallace, Matt","Wallace, Matt",Wyndham Championship,SEDGEFIELD,27,28,45,CUT,2025,2024,2023,2022,33,2,CUT,44,37,23,30,2,50.0,5,1.89,8,,25.0,67.0,93.0,94.0,67.0,STROKES GAINED APPROACH,BIRDIE OR BETTER %,BALL STRIKING,TOTAL DRIVING,PAR 5 SCORING,38.0
"Fitzpatrick, Alex","Fitzpatrick, Alex",Wyndham Championship,SEDGEFIELD,—,—,—,—,2025,2024,2023,2022,7,23,20,6,75,4,9,12,,0,1.78,9,,,,,,,STROKES GAINED APPROACH,BIRDIE OR BETTER %,BALL STRIKING,TOTAL DRIVING,PAR 5 SCORING,
"Bezuidenhout, Christiaan","Bezuidenhout, Christiaan",Wyndham Championship,SEDGEFIELD,62,22,51,47,2025,2024,2023,2022,12,54,32,CUT,35,6,17,3,45.5,5,1.78,9,,16.0,41.0,57.0,87.0,75.0,STROKES GAINED APPROACH,BIRDIE OR BETTER %,BALL STRIKING,TOTAL DRIVING,PAR 5 SCORING,34.0
