player_name,course_name,event_name,h1,h2,h3,h4,avg_finish,starts,last_sg
"Scheffler, Scottie",Bellerive Country Club,BMW Championship,—,—,—,—,,0,
"Burns, Sam",Bellerive Country Club,BMW Championship,—,—,—,—,,0,
"McIlroy, Rory",Bellerive Country Club,BMW Championship,—,—,—,—,,0,
"Kim, Tom",Bellerive Country Club,BMW Championship,—,—,—,—,,0,
"Fleetwood, Tommy",Bellerive Country Club,BMW Championship,—,—,—,—,,0,
"Kim, Si Woo",Bellerive Country Club,BMW Championship,—,—,—,—,,0,
"Fitzpatrick, Matt",Bellerive Country Club,BMW Championship,—,—,—,—,,0,
"Brennan, Michael",Bellerive Country Club,BMW Championship,—,—,—,—,,0,
"Clark, Wyndham",Bellerive Country Club,BMW Championship,—,—,—,—,,0,
"Gerard, Ryan",Bellerive Country Club,BMW Championship,—,—,—,—,,0,
"Thorbjornsen, Michael",Bellerive Country Club,BMW Championship,—,—,—,—,,0,
"Matsuyama, Hideki",Bellerive Country Club,BMW Championship,—,—,—,—,,0,
"Thomas, Justin",Bellerive Country Club,BMW Championship,—,—,—,—,,0,
"Morikawa, Collin",Bellerive Country Club,BMW Championship,—,—,—,—,,0,
"Henley, Russell",Bellerive Country Club,BMW Championship,—,—,—,—,,0,
"Gotterup, Chris",Bellerive Country Club,BMW Championship,—,—,—,—,,0,
"Schauffele, Xander",Bellerive Country Club,BMW Championship,—,—,—,—,,0,
"Fox, Ryan",Bellerive Country Club,BMW Championship,—,—,—,—,,0,
"Cantlay, Patrick",Bellerive Country Club,BMW Championship,—,—,—,—,,0,
"MacIntyre, Robert",Bellerive Country Club,BMW Championship,—,—,—,—,,0,
"Aberg, Ludvig",Bellerive Country Club,BMW Championship,—,—,—,—,,0,
"Kitayama, Kurt",Bellerive Country Club,BMW Championship,—,—,—,—,,0,
"Spaun, J.J.",Bellerive Country Club,BMW Championship,—,—,—,—,,0,
"Hovland, Viktor",Bellerive Country Club,BMW Championship,—,—,—,—,,0,
"Bridgeman, Jacob",Bellerive Country Club,BMW Championship,—,—,—,—,,0,
"Fitzpatrick, Alex",Bellerive Country Club,BMW Championship,—,—,—,—,,0,
"Young, Cameron",Bellerive Country Club,BMW Championship,—,—,—,—,,0,
"McNealy, Maverick",Bellerive Country Club,BMW Championship,—,—,—,—,,0,
"Rose, Justin",Bellerive Country Club,BMW Championship,—,—,—,—,,0,
"Poston, J.T.",Bellerive Country Club,BMW Championship,—,—,—,—,,0,
"Rai, Aaron",Bellerive Country Club,BMW Championship,—,—,—,—,,0,
"Griffin, Ben",Bellerive Country Club,BMW Championship,—,—,—,—,,0,
"Reitan, Kristoffer",Bellerive Country Club,BMW Championship,—,—,—,—,,0,
"Cauley, Bud",Bellerive Country Club,BMW Championship,—,—,—,—,,0,
"Theegala, Sahith",Bellerive Country Club,BMW Championship,—,—,—,—,,0,
"Lee, Min Woo",Bellerive Country Club,BMW Championship,—,—,—,—,,0,
"Im, Sungjae",Bellerive Country Club,BMW Championship,—,—,—,—,,0,
"Echavarria, Nico",Bellerive Country Club,BMW Championship,—,—,—,—,,0,
"Bhatia, Akshay",Bellerive Country Club,BMW Championship,—,—,—,—,,0,
"Cole, Eric",Bellerive Country Club,BMW Championship,—,—,—,—,,0,
"Noren, Alex",Bellerive Country Club,BMW Championship,—,—,—,—,,0,
"Woodland, Gary",Bellerive Country Club,BMW Championship,—,—,—,—,,0,
"Scott, Adam",Bellerive Country Club,BMW Championship,—,—,—,—,,0,
"Hisatsune, Ryo",Bellerive Country Club,BMW Championship,—,—,—,—,,0,
"Smalley, Alex",Bellerive Country Club,BMW Championship,—,—,—,—,,0,
"McCarty, Matt",Bellerive Country Club,BMW Championship,—,—,—,—,,0,
"Knapp, Jake",Bellerive Country Club,BMW Championship,—,—,—,—,,0,
"Fowler, Rickie",Bellerive Country Club,BMW Championship,—,—,—,—,,0,
"Hojgaard, Nicolai",Bellerive Country Club,BMW Championship,—,—,—,—,,0,
"Straka, Sepp",Bellerive Country Club,BMW Championship,—,—,—,—,,0,
