player_name,course_name,event_name,h1,h2,h3,h4,avg_finish,starts,last_sg
"Brennan, Michael",SEDGEFIELD,Wyndham Championship,—,—,—,—,,0,
"Thompson, Davis",SEDGEFIELD,Wyndham Championship,11,12,22,—,15.0,4,2.296
"Kim, Michael",SEDGEFIELD,Wyndham Championship,62,WD,5,—,33.5,7,-0.45399999999999985
"Young, Cameron",SEDGEFIELD,Wyndham Championship,1,22,—,—,11.5,2,4.795999999999999
"Matsuyama, Hideki",SEDGEFIELD,Wyndham Championship,19,—,CUT,—,59.5,5,1.7959999999999998
"Hojgaard, Rasmus",SEDGEFIELD,Wyndham Championship,34,—,—,—,34.0,1,0.796
"Gerard, Ryan",SEDGEFIELD,Wyndham Championship,CUT,—,CUT,—,100.0,2,-1.5615
"Kirk, Chris",SEDGEFIELD,Wyndham Championship,5,—,CUT,—,52.5,5,2.7960000000000003
"Ventura, Kristoffer",SEDGEFIELD,Wyndham Championship,—,—,—,—,,1,0.6569999999999998
"Wallace, Matt",SEDGEFIELD,Wyndham Championship,27,28,45,CUT,50.0,5,1.2960000000000003
"Brown, Blades",SEDGEFIELD,Wyndham Championship,—,—,—,—,,0,
"Koivun, Jackson",SEDGEFIELD,Wyndham Championship,5,—,—,—,5.0,1,2.7960000000000003
"Castillo, Ricky",SEDGEFIELD,Wyndham Championship,23,—,—,—,23.0,1,1.5460000000000003
"Kohles, Ben",SEDGEFIELD,Wyndham Championship,CUT,CUT,—,54,84.66666666666667,3,-0.0615
"Grillo, Emiliano",SEDGEFIELD,Wyndham Championship,44,59,—,—,51.5,3,0.29600000000000004
"Ghim, Doug",SEDGEFIELD,Wyndham Championship,CUT,41,51,CUT,73.0,7,-0.0615
"Harman, Brian",SEDGEFIELD,Wyndham Championship,—,45,—,71,58.0,5,0.22549999999999998
"Roy, Kevin",SEDGEFIELD,Wyndham Championship,CUT,—,CUT,—,100.0,2,-1.0615
"Bradley, Keegan",SEDGEFIELD,Wyndham Championship,CUT,22,—,—,61.0,3,-1.0615
"Riley, Davis",SEDGEFIELD,Wyndham Championship,CUT,38,CUT,13,62.75,4,-0.5615000000000001
"Blanchet, Chandler",SEDGEFIELD,Wyndham Championship,—,—,—,—,,0,
"Hoey, Rico",SEDGEFIELD,Wyndham Championship,67,22,—,—,44.5,2,-0.7040000000000002
"Im, Sungjae",SEDGEFIELD,Wyndham Championship,27,41,14,2,21.0,7,1.2959999999999998
"Yu, Kevin",SEDGEFIELD,Wyndham Championship,CUT,CUT,CUT,—,100.0,3,-1.0615
"Akina, Kihei",SEDGEFIELD,Wyndham Championship,—,—,—,—,,0,
"Merritt, Troy",SEDGEFIELD,Wyndham Championship,—,CUT,58,—,79.0,5,-2.589
"Kim, Tom",SEDGEFIELD,Wyndham Championship,WD,—,—,—,,1,-4.526
"Jaeger, Stephan",SEDGEFIELD,Wyndham Championship,CUT,CUT,14,13,56.75,6,-1.0615
"Van Rooyen, Erik",SEDGEFIELD,Wyndham Championship,WD,CUT,CUT,—,100.0,4,-4.526
"Smith, Jordan",SEDGEFIELD,Wyndham Championship,—,—,—,—,,0,
"Hodges, Lee",SEDGEFIELD,Wyndham Championship,55,CUT,—,47,67.33333333333333,3,0.04600000000000007
"Clanton, Luke",SEDGEFIELD,Wyndham Championship,67,5,—,—,36.0,2,-0.704
"Blair, Zac",SEDGEFIELD,Wyndham Championship,CUT,45,CUT,—,81.66666666666667,6,-1.5615
"James, Ben",SEDGEFIELD,Wyndham Championship,—,—,—,—,,0,
"Meissner, Mac",SEDGEFIELD,Wyndham Championship,2,12,—,—,7.0,2,3.296
"Horschel, Billy",SEDGEFIELD,Wyndham Championship,—,7,4,27,12.666666666666666,7,1.9755
