player_name,Player Name,Slate-Tournament,Headshot,Player ID,Draftable ID,Tournament,Game Start Time,Salary,Fantasy Points,Ownership,Made Cut,MC,Win,Top 5,Top 10,Top 20,Teetime,Course,updated_at
Bryson DeChambeau,Bryson DeChambeau,Classic: LIV,https://dkn.gs/sports/images/golf/players/50/656.png,467,43867143,LIV Golf Indianapolis,8/20/2026,11000,26.5,0,0.5,0.5,,,,,,,2026-09-17T22:13:00.194879Z
Bryson DeChambeau,Bryson DeChambeau,Classic: LIV,https://dkn.gs/sports/images/golf/players/50/656.png,467,43867143,LIV Golf Indianapolis,8/20/2026,11000,26.5,0,0.5,0.5,,,,,,,2026-09-17T22:13:00.194891Z
Jon Rahm,Jon Rahm,Classic: LIV,https://dkn.gs/sports/images/golf/players/50/1173.png,680,43867144,LIV Golf Indianapolis,8/20/2026,10800,26.1,0,0.5,0.5,,,,,,,2026-09-17T22:13:00.194894Z
Jon Rahm,Jon Rahm,Classic: LIV,https://dkn.gs/sports/images/golf/players/50/1173.png,680,43867144,LIV Golf Indianapolis,8/20/2026,10800,26.1,0,0.5,0.5,,,,,,,2026-09-17T22:13:00.194897Z
Jackson Koivun,Jackson Koivun,Classic: Biltmore Championship,https://dkn.gs/sports/images/countries/50/united_states.png,796535,44134902,Biltmore Championship Asheville,9/17/2026,10500,113.9,20.19,0.7965,0.2035,1228.1 (0.08),302.0 (0.25),159.8 (0.38),-127.6 (0.56),1:19:36 PM,EL,2026-09-17T22:13:00.194899Z
Joaquin Niemann,Joaquin Niemann,Classic: LIV,https://dkn.gs/sports/images/golf/players/50/563.png,509671,43867145,LIV Golf Indianapolis,8/20/2026,10500,25.5,0,0.5,0.5,,,,,,,2026-09-17T22:13:00.194902Z
Joaquin Niemann,Joaquin Niemann,Classic: LIV,https://dkn.gs/sports/images/golf/players/50/563.png,509671,43867145,LIV Golf Indianapolis,8/20/2026,10500,25.5,0,0.5,0.5,,,,,,,2026-09-17T22:13:00.194904Z
Jacob Bridgeman,Jacob Bridgeman,Classic: Biltmore Championship,https://dkn.gs/sports/images/golf/players/50/640848.png,764548,44134903,Biltmore Championship Asheville,9/17/2026,10300,111.8,18.93,0.7703,0.2297,1782.0 (0.05),414.1 (0.19),213.6 (0.32),67.4 (0.60),1:19:36 PM,EL,2026-09-17T22:13:00.194909Z
Doug Ghim,Doug Ghim,Classic: Biltmore Championship,https://dkn.gs/sports/images/golf/players/50/546.png,670625,44134904,Biltmore Championship Asheville,9/17/2026,10000,102.05,12.2,0.7416,0.2584,2698.3 (0.04),563.8 (0.15),281.7 (0.26),141.8 (0.41),2:03:36 PM,EL,2026-09-17T22:13:00.194912Z
Tyrrell Hatton,Tyrrell Hatton,Classic: LIV,https://dkn.gs/sports/images/golf/players/50/1015.png,1356,43867146,LIV Golf Indianapolis,8/20/2026,10000,24.5,0,0.5,0.5,,,,,,,2026-09-17T22:13:00.194915Z
Tyrrell Hatton,Tyrrell Hatton,Classic: LIV,https://dkn.gs/sports/images/golf/players/50/1015.png,1356,43867146,LIV Golf Indianapolis,8/20/2026,10000,24.5,0,0.5,0.5,,,,,,,2026-09-17T22:13:00.194917Z
Lucas Herbert,Lucas Herbert,Classic: LIV,https://dkn.gs/sports/images/golf/players/50/863.png,113,43867147,LIV Golf Indianapolis,8/20/2026,9800,24.1,0,0.5,0.5,,,,,,,2026-09-17T22:13:00.194920Z
Lucas Herbert,Lucas Herbert,Classic: LIV,https://dkn.gs/sports/images/golf/players/50/863.png,113,43867147,LIV Golf Indianapolis,8/20/2026,9800,24.1,0,0.5,0.5,,,,,,,2026-09-17T22:13:00.194922Z
Davis Thompson,Davis Thompson,Classic: Biltmore Championship,https://dkn.gs/sports/images/golf/players/50/456332.png,700001,44134906,Biltmore Championship Asheville,9/17/2026,9700,99.83,15.59,0.7367,0.2633,2396.3 (0.04),572.1 (0.15),285.4 (0.26),135.2 (0.43),1:30:36 PM,EL,2026-09-17T22:13:00.194925Z
David Puig,David Puig,Classic: LIV,https://dkn.gs/sports/images/countries/50/spain.png,756216,43867148,LIV Golf Indianapolis,8/20/2026,9600,23.7,0,0.5,0.5,,,,,,,2026-09-17T22:13:00.194927Z
David Puig,David Puig,Classic: LIV,https://dkn.gs/sports/images/countries/50/spain.png,756216,43867148,LIV Golf Indianapolis,8/20/2026,9600,23.7,0,0.5,0.5,,,,,,,2026-09-17T22:13:00.194929Z
Benjamin James,Benjamin James,Classic: Biltmore Championship,https://dkn.gs/sports/images/countries/50/united_states.png,765775,44134907,Biltmore Championship Asheville,9/17/2026,9500,95.23,17.24,0.7366,0.2634,2145.8 (0.04),520.3 (0.16),271.7 (0.27),129.4 (0.44),1:30:36 PM,EL,2026-09-17T22:13:00.194932Z
Corey Conners,Corey Conners,Classic: Biltmore Championship,https://dkn.gs/sports/images/golf/players/50/1038.png,1860,44134908,Biltmore Championship Asheville,9/17/2026,9400,95.96,13.07,0.7282,0.2718,2940.5 (0.03),625.5 (0.14),311.3 (0.24),153.1 (0.40),8:29:36 AM,EL,2026-09-17T22:13:00.194934Z
Branden Grace,Branden Grace,Classic: LIV,https://dkn.gs/sports/images/golf/players/50/661.png,956,43867149,LIV Golf Indianapolis,8/20/2026,9400,23.3,0,0.5,0.5,,,,,,,2026-09-17T22:13:00.194936Z
Branden Grace,Branden Grace,Classic: LIV,https://dkn.gs/sports/images/golf/players/50/661.png,956,43867149,LIV Golf Indianapolis,8/20/2026,9400,23.3,0,0.5,0.5,,,,,,,2026-09-17T22:13:00.194938Z
Keita Nakajima,Keita Nakajima,Classic: Biltmore Championship,https://dkn.gs/sports/images/countries/50/japan.png,699011,44134909,Biltmore Championship Asheville,9/17/2026,9300,95.02,9.2,0.7193,0.2807,3394.4 (0.03),696.4 (0.13),343.0 (0.23),165.2 (0.38),9:24:36 AM,EL,2026-09-17T22:13:00.194941Z
Kevin Yu,Kevin Yu,Classic: Biltmore Championship,https://dkn.gs/sports/images/golf/players/50/681.png,671066,44134910,Biltmore Championship Asheville,9/17/2026,9200,93.71,10.04,0.7109,0.2891,3491.8 (0.03),722.6 (0.12),354.4 (0.22),169.6 (0.37),1:19:36 PM,EL,2026-09-17T22:13:00.194943Z
Cameron Smith,Cameron Smith,Classic: LIV,https://dkn.gs/sports/images/golf/players/50/532.png,1194,43867150,LIV Golf Indianapolis,8/20/2026,9200,22.9,0,0.5,0.5,,,,,,,2026-09-17T22:13:00.194945Z
Cameron Smith,Cameron Smith,Classic: LIV,https://dkn.gs/sports/images/golf/players/50/532.png,1194,43867150,LIV Golf Indianapolis,8/20/2026,9200,22.9,0,0.5,0.5,,,,,,,2026-09-17T22:13:00.194947Z
Eric Cole,Eric Cole,Classic: Biltmore Championship,https://dkn.gs/sports/images/golf/players/50/525717.png,704063,44134911,Biltmore Championship Asheville,9/17/2026,9100,96.3,8.22,0.7037,0.2963,3521.5 (0.03),740.4 (0.12),365.7 (0.21),175.5 (0.36),12:57:36 PM,EL,2026-09-17T22:13:00.194949Z
Marc Leishman,Marc Leishman,Classic: LIV,https://dkn.gs/sports/images/golf/players/50/555.png,142,43867151,LIV Golf Indianapolis,8/20/2026,9100,22.7,0,0.5,0.5,,,,,,,2026-09-17T22:13:00.194951Z
Marc Leishman,Marc Leishman,Classic: LIV,https://dkn.gs/sports/images/golf/players/50/555.png,142,43867151,LIV Golf Indianapolis,8/20/2026,9100,22.7,0,0.5,0.5,,,,,,,2026-09-17T22:13:00.194954Z
Mac Meissner,Mac Meissner,Classic: Biltmore Championship,https://dkn.gs/sports/images/golf/players/50/557402.png,708878,44134912,Biltmore Championship Asheville,9/17/2026,9000,95.28,9.36,0.7176,0.2824,3332.0 (0.03),709.8 (0.12),347.1 (0.22),162.1 (0.38),1:52:36 PM,EL,2026-09-17T22:13:00.194956Z
Thomas Detry,Thomas Detry,Classic: LIV,https://dkn.gs/sports/images/golf/players/50/842.png,121942,43867152,LIV Golf Indianapolis,8/20/2026,9000,22.5,0,0.5,0.5,,,,,,,2026-09-17T22:13:00.194958Z
Thomas Detry,Thomas Detry,Classic: LIV,https://dkn.gs/sports/images/golf/players/50/842.png,121942,43867152,LIV Golf Indianapolis,8/20/2026,9000,22.5,0,0.5,0.5,,,,,,,2026-09-17T22:13:00.194960Z
J.T. Poston,J.T. Poston,Classic: Biltmore Championship,https://dkn.gs/sports/images/golf/players/50/1165.png,300174,44134913,Biltmore Championship Asheville,9/17/2026,8900,97.05,16.59,0.7232,0.2768,2754.0 (0.04),647.0 (0.13),319.0 (0.24),154.0 (0.39),1:30:36 PM,EL,2026-09-17T22:13:00.194962Z
Tom McKibbin,Tom McKibbin,Classic: LIV,https://dkn.gs/sports/images/countries/50/northern_ireland.png,671050,43867155,LIV Golf Indianapolis,8/20/2026,8900,22.3,0,0.5,0.5,,,,,,,2026-09-17T22:13:00.194965Z
Tom McKibbin,Tom McKibbin,Classic: LIV,https://dkn.gs/sports/images/countries/50/northern_ireland.png,671050,43867155,LIV Golf Indianapolis,8/20/2026,8900,22.3,0,0.5,0.5,,,,,,,2026-09-17T22:13:00.194967Z
Blades Brown,Blades Brown,Classic: Biltmore Championship,https://dkn.gs/sports/images/countries/50/united_states.png,795495,44134914,Biltmore Championship Asheville,9/17/2026,8800,92.57,12.74,0.6905,0.3095,3536.5 (0.03),795.3 (0.11),395.8 (0.20),187.7 (0.35),8:40:36 AM,EL,2026-09-17T22:13:00.194970Z
Carlos Ortiz,Carlos Ortiz,Classic: LIV,https://dkn.gs/sports/images/golf/players/50/580.png,777,43867154,LIV Golf Indianapolis,8/20/2026,8800,22.1,0,0.5,0.5,,,,,,,2026-09-17T22:13:00.194972Z
Carlos Ortiz,Carlos Ortiz,Classic: LIV,https://dkn.gs/sports/images/golf/players/50/580.png,777,43867154,LIV Golf Indianapolis,8/20/2026,8800,22.1,0,0.5,0.5,,,,,,,2026-09-17T22:13:00.194974Z
Johnny Keefer,Johnny Keefer,Classic: Biltmore Championship,https://dkn.gs/sports/images/countries/50/united_states.png,814141,44134915,Biltmore Championship Asheville,9/17/2026,8700,90.31,7.27,0.673,0.327,4474.0 (0.02),971.0 (0.09),467.1 (0.18),215.0 (0.32),8:18:36 AM,EL,2026-09-17T22:13:00.194976Z
Dean Burmester,Dean Burmester,Classic: LIV,https://dkn.gs/sports/images/golf/players/50/770.png,851,43867153,LIV Golf Indianapolis,8/20/2026,8700,21.9,0,0.5,0.5,,,,,,,2026-09-17T22:13:00.194979Z
Dean Burmester,Dean Burmester,Classic: LIV,https://dkn.gs/sports/images/golf/players/50/770.png,851,43867153,LIV Golf Indianapolis,8/20/2026,8700,21.9,0,0.5,0.5,,,,,,,2026-09-17T22:13:00.194981Z
Beau Hossler,Beau Hossler,Classic: Biltmore Championship,https://dkn.gs/sports/images/golf/players/50/646.png,1689,44134916,Biltmore Championship Asheville,9/17/2026,8600,89.5,5.92,0.68,0.32,4192.1 (0.02),840.8 (0.11),418.3 (0.19),196.9 (0.34),12:46:36 PM,EL,2026-09-17T22:13:00.194983Z
Harold Varner III,Harold Varner III,Classic: LIV,https://dkn.gs/sports/images/golf/players/50/624.png,190,43867156,LIV Golf Indianapolis,8/20/2026,8600,21.7,0,0.5,0.5,,,,,,,2026-09-17T22:13:00.194986Z
Harold Varner III,Harold Varner III,Classic: LIV,https://dkn.gs/sports/images/golf/players/50/624.png,190,43867156,LIV Golf Indianapolis,8/20/2026,8600,21.7,0,0.5,0.5,,,,,,,2026-09-17T22:13:00.194988Z
Ryo Hisatsune,Ryo Hisatsune,Classic: Biltmore Championship,https://dkn.gs/sports/images/golf/players/50/609130.png,760663,44134917,Biltmore Championship Asheville,9/17/2026,8500,91.44,13.37,0.7067,0.2933,3369.4 (0.03),736.8 (0.12),367.3 (0.21),175.5 (0.36),8:29:36 AM,EL,2026-09-17T22:13:00.194990Z
Abraham Ancer,Abraham Ancer,Classic: LIV,https://dkn.gs/sports/images/golf/players/50/768.png,662,43867157,LIV Golf Indianapolis,8/20/2026,8500,21.5,0,0.5,0.5,,,,,,,2026-09-17T22:13:00.194992Z
Abraham Ancer,Abraham Ancer,Classic: LIV,https://dkn.gs/sports/images/golf/players/50/768.png,662,43867157,LIV Golf Indianapolis,8/20/2026,8500,21.5,0,0.5,0.5,,,,,,,2026-09-17T22:13:00.194995Z
Marco Penge,Marco Penge,Classic: Biltmore Championship,https://dkn.gs/sports/images/countries/50/england.png,698887,44134918,Biltmore Championship Asheville,9/17/2026,8400,88.93,13.46,0.7066,0.2934,2922.0 (0.03),711.4 (0.12),358.8 (0.22),168.7 (0.37),2:36:36 PM,EL,2026-09-17T22:13:00.194997Z
Victor Perez,Victor Perez,Classic: LIV,https://dkn.gs/sports/images/golf/players/50/710.png,670428,43867158,LIV Golf Indianapolis,8/20/2026,8400,21.3,0,0.5,0.5,,,,,,,2026-09-17T22:13:00.194999Z
Victor Perez,Victor Perez,Classic: LIV,https://dkn.gs/sports/images/golf/players/50/710.png,670428,43867158,LIV Golf Indianapolis,8/20/2026,8400,21.3,0,0.5,0.5,,,,,,,2026-09-17T22:13:00.195001Z
Denny McCarthy,Denny McCarthy,Classic: Biltmore Championship,https://dkn.gs/sports/images/golf/players/50/631.png,1018,44134919,Biltmore Championship Asheville,9/17/2026,8300,87.31,5.86,0.6627,0.3373,5586.1 (0.02),1055.2 (0.09),492.1 (0.17),226.8 (0.31),1:41:36 PM,EL,2026-09-17T22:13:00.195003Z
Dustin Johnson,Dustin Johnson,Classic: LIV,https://dkn.gs/sports/images/golf/players/50/720.png,1149,43867159,LIV Golf Indianapolis,8/20/2026,8300,21.1,0,0.5,0.5,,,,,,,2026-09-17T22:13:00.195005Z
Dustin Johnson,Dustin Johnson,Classic: LIV,https://dkn.gs/sports/images/golf/players/50/720.png,1149,43867159,LIV Golf Indianapolis,8/20/2026,8300,21.1,0,0.5,0.5,,,,,,,2026-09-17T22:13:00.195008Z
Jackson Suber,Jackson Suber,Classic: Biltmore Championship,https://dkn.gs/sports/images/golf/players/50/632390.png,763051,44134920,Biltmore Championship Asheville,9/17/2026,8200,89.32,13.1,0.6767,0.3233,3862.7 (0.03),896.8 (0.10),438.8 (0.19),202.0 (0.33),1:08:36 PM,EL,2026-09-17T22:13:00.195010Z
Scott Vincent,Scott Vincent,Classic: LIV,https://dkn.gs/sports/images/golf/players/50/979.png,772,43867160,LIV Golf Indianapolis,8/20/2026,8200,20.9,0,0.5,0.5,,,,,,,2026-09-17T22:13:00.195012Z
Scott Vincent,Scott Vincent,Classic: LIV,https://dkn.gs/sports/images/golf/players/50/979.png,772,43867160,LIV Golf Indianapolis,8/20/2026,8200,20.9,0,0.5,0.5,,,,,,,2026-09-17T22:13:00.195014Z
Christiaan Bezuidenhout,Christiaan Bezuidenhout,Classic: Biltmore Championship,https://dkn.gs/sports/images/golf/players/50/1115.png,453,44134921,Biltmore Championship Asheville,9/17/2026,8100,89.6,7.69,0.664,0.336,5489.6 (0.02),1036.9 (0.09),465.0 (0.18),218.9 (0.31),12:57:36 PM,EL,2026-09-17T22:13:00.195046Z
Byeong Hun An,Byeong Hun An,Classic: LIV,https://dkn.gs/sports/images/golf/players/50/639.png,1062,43867161,LIV Golf Indianapolis,8/20/2026,8100,20.7,0,0.5,0.5,,,,,,,2026-09-17T22:13:00.195049Z
Byeong Hun An,Byeong Hun An,Classic: LIV,https://dkn.gs/sports/images/golf/players/50/639.png,1062,43867161,LIV Golf Indianapolis,8/20/2026,8100,20.7,0,0.5,0.5,,,,,,,2026-09-17T22:13:00.195051Z
Pierceson Coody,Pierceson Coody,Classic: Biltmore Championship,https://dkn.gs/sports/images/golf/players/50/562745.png,710732,44134922,Biltmore Championship Asheville,9/17/2026,8000,84.42,6.54,0.6684,0.3316,4886.0 (0.02),1010.3 (0.09),477.1 (0.17),224.1 (0.31),12:46:36 PM,EL,2026-09-17T22:13:00.195053Z
