tour,year,season,event_completed,event_name,event_id,player_name,dg_id,fin_text,round_num,course_name,course_num,course_par,start_hole,teetime,round_score,sg_putt,sg_arg,sg_app,sg_ott,sg_t2g,sg_total,driving_dist,driving_acc,gir,scrambling,prox_rgh,prox_fw,great_shots,poor_shots,eagles_or_better,birdies,pars,bogies,doubles_or_worse,outright_season,outright_event_completed,outright_book,outright_market,outright_open_odds,outright_open_time,outright_close_odds,outright_close_time,outright_outcome,outright_bet_outcome_text,outright_bet_outcome_numeric,dfs_season,dfs_site,dfs_ownerships_from,dfs_salary,dfs_ownership,dfs_fin_text,dfs_streak_pts,dfs_bogey_free_pts,dfs_hole_in_one_pts,dfs_sub_70_pts,dfs_hole_score_pts,dfs_finish_pts,dfs_total_pts,Birdie Or Better %,Birdie to Bogey Ratio,Bogey Avoidance %,Field Sum Eagles or Better,Field Sum Birdies,Field Sum Bogies,Field Sum Doubles or Worse,Field Num Players,Field Birdie or Better %,Field Birdie to Bogey Ratio,Field Bogey Avoidance %,SG_Birdie or Better %,sg_birdie_to_bogey_ratio,sg_bogey_avoidance,sg_driving_dist,sg_driving_acc,sg_gir,Total Driving,Ball Striking,Field Avg Dist,Field Avg Acc,Field Avg GIR,Norm SG Distance,Norm Fairways Gained,Norm Greens Gained,Norm SG Birdie or Better %,Norm SG Birdie to Bogey Ratio,Norm SG Bogey Avoidance,Field Prox FW,SG Prox FW,Norm SG Prox FW,Name Adjusted,LOCATION,DESIGNER,Redesigned,STYLE,GREENS,GREENS (2),GREEN SPEEDS,GREEN SIZE,FAIRWAYS,FAIRWAY LENGTH (sg.ft.),ROUGH LENGH,ROUGH ACRES (sg.ft.),DRAINAGE,YARDAGE,LENGTH,PAR,Bunkers,Water Hazards,Water Hazards in Play,SCORING,WEATHER,WEATHER DETAILS,TYPE,CUT,WINNING SCORE,WINNER,GD%,GG GAINED,B2B,BOB,EGG,EDG,Total Accuracy,200+,200-175,175-150,150-125,125-,PAR 4,PAR 5,Rounds,Sum TD,Sum BS,FAIRWAY WIDTH,GREEN WIDTH,GREEN SPEEDS.1,ROUGH LENGTH,WATER HAZARDS,ROUGH AMOUNT,BUNKERS,RAIN,name_adjusted,updated_at,field_event_name,field_course_name
pga,2026,2026,2026-08-23,BMW Championship,28,"Aberg, Ludvig",23950,T16,1,Bellerive Country Club,679,70,1.0,9:47 AM,66.0,3.138,0.22,0.825,-1.684,-0.639,2.5,308.6,0.5,0.667,0.8,50.325,25.737,6.0,2.0,0.0,6.0,10.0,2.0,0.0,2026.0,8/23/2026,draftkings,win,20/1,8/17/2026,16.5/1,8/20/2026,T16,loss,0.0,2026.0,draftkings,PGA TOUR $750K Sand Trap [$200K to 1st],9700.0,0.2034,T16,0.0,0.0,0.0,0.0,64.5,5.0,69.5,33.33333333,3.0,88.88888889,3,198,107,11,50,22.33333333,1.703389831,86.88888889,11.0,1.296610169,2.0,0.788422632,-1.34064,-0.495,-0.562239138,-1.057239138,296.59,0.59576,0.6945,0.056510022,-0.61874916,-0.220969115,1.303954523,1.296610169,0.218085795,26.91544,-25.68048998,-0.084978616,Ludvig Aberg,MISSOURI,ROBERT TRENT JONES (REES JONES RENOVATION),,PARKLAND,BENT,T1 BENTGRASS,,7600.0,ZOYSIA,34.0,4.0,,GOOD,7448.0,LONG,70.0,76.0,11.0,11.0,HARD,FAIR,LATE SUMMER ST. LOUIS CONDITIONS - EXPECTED FIRM/FAST GREENS IF DRY BUT CAN SOFTEN WITH HUMIDITY/RAIN. COURSE LENGTHENED (ESPECIALLY 17TH).,NO CUT,,-17.0,WYNDHAM CLARK,-1.8650163,-0.9249561,-0.720448897,-0.84226657,-0.55747805,2.283456452,2.415967427,-0.749129878,-0.106618661,-0.189222442,-0.027833644,-0.212833859,-4.926531993,-4.077843593,59,10.77882581,9.853869706,WIDE,SMALL,,THICK,MANY,,NORMAL,YES,"Aberg, Ludvig",2026-09-02T15:52:39.396891Z,TOUR Championship,East Lake Golf Club
pga,2026,2026,2026-08-23,BMW Championship,28,"Aberg, Ludvig",23950,T16,2,Bellerive Country Club,679,70,1.0,12:31 PM,70.0,-1.468,0.587,-0.739,-0.24,-0.392,-1.86,319.2,0.571,0.667,0.333,43.363,28.392,4.0,5.0,0.0,3.0,12.0,3.0,0.0,2026.0,8/23/2026,draftkings,win,20/1,8/17/2026,16.5/1,8/20/2026,T16,loss,0.0,2026.0,draftkings,PGA TOUR $750K Sand Trap [$200K to 1st],9700.0,0.2034,T16,0.0,0.0,0.0,0.0,64.5,5.0,69.5,16.66666667,1.0,83.33333333,5,210,112,7,50,23.88888889,1.806722689,86.77777778,-7.222222222,-0.806722689,-3.444444444,-0.517651223,-0.5656,-0.5328,-0.298145419,-0.830945419,301.508,0.6114,0.6966,-0.03710254,-0.261042879,-0.23784312,-0.75183507,-0.806722689,-0.430188213,25.01508,-28.42910254,-0.035851463,Ludvig Aberg,MISSOURI,ROBERT TRENT JONES (REES JONES RENOVATION),,PARKLAND,BENT,T1 BENTGRASS,,7600.0,ZOYSIA,34.0,4.0,,GOOD,7448.0,LONG,70.0,76.0,11.0,11.0,HARD,FAIR,LATE SUMMER ST. LOUIS CONDITIONS - EXPECTED FIRM/FAST GREENS IF DRY BUT CAN SOFTEN WITH HUMIDITY/RAIN. COURSE LENGTHENED (ESPECIALLY 17TH).,NO CUT,,-17.0,WYNDHAM CLARK,-1.8650163,-0.9249561,-0.720448897,-0.84226657,-0.55747805,2.283456452,2.415967427,-0.749129878,-0.106618661,-0.189222442,-0.027833644,-0.212833859,-4.926531993,-4.077843593,59,10.77882581,9.853869706,WIDE,SMALL,,THICK,MANY,,NORMAL,YES,"Aberg, Ludvig",2026-09-02T15:52:39.396891Z,TOUR Championship,East Lake Golf Club
pga,2026,2026,2026-08-23,BMW Championship,28,"Aberg, Ludvig",23950,T16,3,Bellerive Country Club,679,70,1.0,10:50 AM,69.0,0.538,0.673,-0.804,-0.147,-0.278,0.26,312.9,0.429,0.611,0.8,69.297,33.183,1.0,2.0,0.0,2.0,15.0,1.0,0.0,2026.0,8/23/2026,draftkings,win,20/1,8/17/2026,16.5/1,8/20/2026,T16,loss,0.0,2026.0,draftkings,PGA TOUR $750K Sand Trap [$200K to 1st],9700.0,0.2034,T16,0.0,0.0,0.0,0.0,64.5,5.0,69.5,11.11111111,2.0,94.44444444,2,174,125,7,50,19.55555556,1.333333333,85.33333333,-8.444444444,0.666666667,9.111111111,-0.605253737,-2.07312,-1.062,-1.000194042,-2.062194042,300.324,0.57708,0.67,-0.043381431,-0.956812611,-0.474079191,-0.931471677,0.666666667,1.087090017,27.16422,-33.22638143,-0.131408036,Ludvig Aberg,MISSOURI,ROBERT TRENT JONES (REES JONES RENOVATION),,PARKLAND,BENT,T1 BENTGRASS,,7600.0,ZOYSIA,34.0,4.0,,GOOD,7448.0,LONG,70.0,76.0,11.0,11.0,HARD,FAIR,LATE SUMMER ST. LOUIS CONDITIONS - EXPECTED FIRM/FAST GREENS IF DRY BUT CAN SOFTEN WITH HUMIDITY/RAIN. COURSE LENGTHENED (ESPECIALLY 17TH).,NO CUT,,-17.0,WYNDHAM CLARK,-1.8650163,-0.9249561,-0.720448897,-0.84226657,-0.55747805,2.283456452,2.415967427,-0.749129878,-0.106618661,-0.189222442,-0.027833644,-0.212833859,-4.926531993,-4.077843593,59,10.77882581,9.853869706,WIDE,SMALL,,THICK,MANY,,NORMAL,YES,"Aberg, Ludvig",2026-09-02T15:52:39.396891Z,TOUR Championship,East Lake Golf Club
pga,2026,2026,2026-08-23,BMW Championship,28,"Aberg, Ludvig",23950,T16,4,Bellerive Country Club,679,70,1.0,11:06 AM,69.0,2.059,-0.288,-0.684,-0.587,-1.559,0.5,312.2,0.357,0.556,0.714,53.415,26.077,2.0,4.0,0.0,4.0,11.0,3.0,0.0,2026.0,8/23/2026,draftkings,win,20/1,8/17/2026,16.5/1,8/20/2026,T16,loss,0.0,2026.0,draftkings,PGA TOUR $750K Sand Trap [$200K to 1st],9700.0,0.2034,T16,0.0,0.0,0.0,0.0,64.5,5.0,69.5,22.22222222,1.333333333,83.33333333,5,187,127,21,50,21.33333333,1.297297297,83.55555556,0.888888889,0.036036036,-0.222222222,0.06371092,-3.48096,-1.59264,-1.6020103,-3.1946503,303.896,0.60564,0.64448,0.004566466,-1.606576766,-0.710958082,0.109446835,0.036036036,-0.03020723,28.13178,-26.07243353,-0.220646232,Ludvig Aberg,MISSOURI,ROBERT TRENT JONES (REES JONES RENOVATION),,PARKLAND,BENT,T1 BENTGRASS,,7600.0,ZOYSIA,34.0,4.0,,GOOD,7448.0,LONG,70.0,76.0,11.0,11.0,HARD,FAIR,LATE SUMMER ST. LOUIS CONDITIONS - EXPECTED FIRM/FAST GREENS IF DRY BUT CAN SOFTEN WITH HUMIDITY/RAIN. COURSE LENGTHENED (ESPECIALLY 17TH).,NO CUT,,-17.0,WYNDHAM CLARK,-1.8650163,-0.9249561,-0.720448897,-0.84226657,-0.55747805,2.283456452,2.415967427,-0.749129878,-0.106618661,-0.189222442,-0.027833644,-0.212833859,-4.926531993,-4.077843593,59,10.77882581,9.853869706,WIDE,SMALL,,THICK,MANY,,NORMAL,YES,"Aberg, Ludvig",2026-09-02T15:52:39.396891Z,TOUR Championship,East Lake Golf Club
pga,2026,2026,2026-08-16,FedEx St. Jude Championship,27,"Aberg, Ludvig",23950,T7,3,TPC Southwind,513,70,1.0,,74.0,-1.733,-1.937,-2.339,1.716,-2.56,-4.294,308.6,0.786,0.667,0.556,35.756,35.605,2.0,5.0,0.0,2.0,11.0,4.0,1.0,2026.0,8/16/2026,draftkings,win,23.5/1,8/10/2026,24/1,8/12/2026,T7,loss,0.0,2026.0,draftkings,PGA TOUR $750K Sand Trap [$200K to 1st],9100.0,0.1214,T7,6.0,0.0,0.0,0.0,68.5,10.0,84.5,11.11111111,0.4,72.22222222,2,239,173,23,68,19.68954248,1.229591837,83.9869281,-8.578431373,-0.829591837,-11.76470588,-0.612865103,3.106764706,1.549323529,1.388578138,2.937901667,300.8808824,0.564088235,0.580926471,-0.043784652,1.43236279,0.690778753,-0.874545079,-0.829591837,-1.365836516,28.54917647,-35.64878465,0.196617891,Ludvig Aberg,TENNESSEE,RON PRICHARD,,TPC,BERMUDA,CHAMPION,,4300.0,ZOYSIA,22.0,2.5,115.0,GOOD,7277.0,NORMAL,70.0,75.0,11.0,11.0,NORMAL,FAIR,WEATHER IMPACTED THE SCORING SLIGHTLY,NO CUT,,-17.0,SCOTTIE SCHEFFLER,-0.268112174,2.409417391,-0.69231063,-5.889043009,1.350958696,3.15355993,3.240289278,-2.113287751,0.019849539,-0.338432635,-0.218759391,-0.262413669,-4.818259323,-8.001240677,51,10.25923972,12.66865711,SMALL,SMALL,,NORMAL,MANY,LOTS,NORMAL,NO,"Aberg, Ludvig",2026-09-02T15:52:39.396891Z,TOUR Championship,East Lake Golf Club
pga,2026,2026,2026-08-16,FedEx St. Jude Championship,27,"Aberg, Ludvig",23950,T7,1,TPC Southwind,513,70,1.0,,68.0,0.444,1.214,-0.524,0.416,1.106,1.551,309.6,0.214,0.611,0.75,43.94,32.22,5.0,4.0,0.0,4.0,12.0,2.0,0.0,2026.0,8/16/2026,draftkings,win,23.5/1,8/10/2026,24/1,8/12/2026,T7,loss,0.0,2026.0,draftkings,PGA TOUR $750K Sand Trap [$200K to 1st],9100.0,0.1214,T7,6.0,0.0,0.0,0.0,68.5,10.0,84.5,22.22222222,2.0,88.88888889,13,235,165,30,69,19.96779388,1.271794872,84.29951691,2.254428341,0.728205128,4.589371981,0.161062133,-4.365971014,0.533478261,-2.001408678,-1.467930417,300.6956522,0.525855073,0.581362319,0.011506691,-2.012915369,0.23785571,0.269095065,0.728205128,0.575905359,28.08449275,-32.20849331,-0.27630931,Ludvig Aberg,TENNESSEE,RON PRICHARD,,TPC,BERMUDA,CHAMPION,,4300.0,ZOYSIA,22.0,2.5,115.0,GOOD,7277.0,NORMAL,70.0,75.0,11.0,11.0,NORMAL,FAIR,WEATHER IMPACTED THE SCORING SLIGHTLY,NO CUT,,-17.0,SCOTTIE SCHEFFLER,-0.268112174,2.409417391,-0.69231063,-5.889043009,1.350958696,3.15355993,3.240289278,-2.113287751,0.019849539,-0.338432635,-0.218759391,-0.262413669,-4.818259323,-8.001240677,51,10.25923972,12.66865711,SMALL,SMALL,,NORMAL,MANY,LOTS,NORMAL,NO,"Aberg, Ludvig",2026-09-02T15:52:39.396891Z,TOUR Championship,East Lake Golf Club
pga,2026,2026,2026-08-16,FedEx St. Jude Championship,27,"Aberg, Ludvig",23950,T7,2,TPC Southwind,513,70,1.0,,65.0,0.563,0.105,1.845,2.031,3.981,4.544,314.3,0.643,0.833,1.0,19.19,23.853,4.0,1.0,0.0,7.0,10.0,0.0,1.0,2026.0,8/16/2026,draftkings,win,23.5/1,8/10/2026,24/1,8/12/2026,T7,loss,0.0,2026.0,draftkings,PGA TOUR $750K Sand Trap [$200K to 1st],9100.0,0.1214,T7,6.0,0.0,0.0,0.0,68.5,10.0,84.5,38.88888889,7.0,94.44444444,5,254,177,26,68,21.16013072,1.275862069,83.41503268,17.72875817,5.724137931,11.02941176,1.266587879,1.384352941,3.772852941,0.728739269,4.50159221,300.7485294,0.544117647,0.623397059,0.090488281,0.638250988,1.682157794,1.759014599,5.724137931,1.169769111,28.27092647,-23.76251172,0.087611577,Ludvig Aberg,TENNESSEE,RON PRICHARD,,TPC,BERMUDA,CHAMPION,,4300.0,ZOYSIA,22.0,2.5,115.0,GOOD,7277.0,NORMAL,70.0,75.0,11.0,11.0,NORMAL,FAIR,WEATHER IMPACTED THE SCORING SLIGHTLY,NO CUT,,-17.0,SCOTTIE SCHEFFLER,-0.268112174,2.409417391,-0.69231063,-5.889043009,1.350958696,3.15355993,3.240289278,-2.113287751,0.019849539,-0.338432635,-0.218759391,-0.262413669,-4.818259323,-8.001240677,51,10.25923972,12.66865711,SMALL,SMALL,,NORMAL,MANY,LOTS,NORMAL,NO,"Aberg, Ludvig",2026-09-02T15:52:39.396891Z,TOUR Championship,East Lake Golf Club
pga,2026,2026,2026-08-16,FedEx St. Jude Championship,27,"Aberg, Ludvig",23950,T7,4,TPC Southwind,513,70,1.0,,67.0,0.297,0.698,1.308,1.256,3.262,3.559,311.9,0.429,0.778,0.833,34.753,30.018,1.0,2.0,0.0,4.0,13.0,1.0,0.0,2026.0,8/16/2026,draftkings,win,23.5/1,8/10/2026,24/1,8/12/2026,T7,loss,0.0,2026.0,draftkings,PGA TOUR $750K Sand Trap [$200K to 1st],9100.0,0.1214,T7,6.0,0.0,0.0,0.0,68.5,10.0,84.5,22.22222222,4.0,94.44444444,3,214,195,30,68,17.72875817,0.964444444,81.61764706,4.493464052,3.035555556,12.82679739,0.321024578,-1.391147059,3.576176471,-0.618448573,2.957727897,300.3955882,0.528367647,0.579323529,0.022934818,-0.641383391,1.594467957,0.501158572,3.035555556,1.55075579,30.67220588,-29.99506518,-0.088041556,Ludvig Aberg,TENNESSEE,RON PRICHARD,,TPC,BERMUDA,CHAMPION,,4300.0,ZOYSIA,22.0,2.5,115.0,GOOD,7277.0,NORMAL,70.0,75.0,11.0,11.0,NORMAL,FAIR,WEATHER IMPACTED THE SCORING SLIGHTLY,NO CUT,,-17.0,SCOTTIE SCHEFFLER,-0.268112174,2.409417391,-0.69231063,-5.889043009,1.350958696,3.15355993,3.240289278,-2.113287751,0.019849539,-0.338432635,-0.218759391,-0.262413669,-4.818259323,-8.001240677,51,10.25923972,12.66865711,SMALL,SMALL,,NORMAL,MANY,LOTS,NORMAL,NO,"Aberg, Ludvig",2026-09-02T15:52:39.396891Z,TOUR Championship,East Lake Golf Club
pga,2026,2026,2026-07-19,The Open Championship,100,"Aberg, Ludvig",23950,T9,1,Royal Birkdale Golf Club,541,70,1.0,,71.0,-1.457,0.858,0.504,0.531,1.893,0.436,297.6,0.429,0.611,0.571,67.1,30.019,3.0,6.0,0.0,2.0,13.0,3.0,0.0,2026.0,7/19/2026,draftkings,win,33/1,7/13/2026,32/1,7/15/2026,T9,loss,0.0,2026.0,draftkings,PGA $2.5M Millionaire [$1M to 1st],9300.0,0.0999,T9,0.0,0.0,0.0,0.0,63.5,8.0,71.5,11.11111111,0.666666667,83.33333333,4,402,520,54,156,14.45868946,0.707317073,79.55840456,-3.347578348,-0.040650407,3.774928775,-0.235559356,-1.237833333,-0.271615385,-0.585296872,-0.856912256,279.7903846,0.517416667,0.626089744,-0.016575627,-0.568721245,-0.121006316,-0.408435018,-0.040650407,0.372420052,35.34895513,-30.03557563,-0.077514812,Ludvig Aberg,ENGLAND,Frederick G. Hawtree,,LINKS,FESCUE,BENT,10.0,5000.0,FESCUE,30.0,5.0,200.0,GOOD,7223.0,NORMAL,70.0,108.0,0.0,1.0,HARD,FAIR,It was a around 15 mph the whole week.,FULL,5.0,-10.0,RYAN FOX,-0.80930859,1.902238269,-0.636638846,-0.985170681,1.388619135,3.467173935,3.785233502,-0.822857753,-0.200593625,-0.331548446,-0.341438762,-0.441880834,-4.717179406,-4.069764882,51,12.36369574,14.26593401,NORMAL,SMALL,SLOW,THICK,LOW,LOTS,LOTS,NO,"Aberg, Ludvig",2026-09-02T15:52:39.396891Z,TOUR Championship,East Lake Golf Club
pga,2026,2026,2026-07-19,The Open Championship,100,"Aberg, Ludvig",23950,T9,2,Royal Birkdale Golf Club,541,70,1.0,,66.0,1.984,0.537,1.31,0.518,2.365,4.348,297.6,0.357,0.667,0.667,56.792,23.917,9.0,2.0,0.0,7.0,8.0,3.0,0.0,2026.0,7/19/2026,draftkings,win,33/1,7/13/2026,32/1,7/15/2026,T9,loss,0.0,2026.0,draftkings,PGA $2.5M Millionaire [$1M to 1st],9300.0,0.0999,T9,0.0,0.0,0.0,0.0,63.5,8.0,71.5,38.88888889,2.333333333,83.33333333,17,497,469,51,155,18.42293907,0.988461539,81.36200717,20.46594982,1.344871795,1.971326165,1.440129392,-2.175870968,0.733470968,-0.898363947,-0.164892979,285.743871,0.512419355,0.626251613,0.101337719,-0.999701666,0.326765803,2.322327656,1.344871795,0.200678331,33.18985806,-23.81566228,-0.136256009,Ludvig Aberg,ENGLAND,Frederick G. Hawtree,,LINKS,FESCUE,BENT,10.0,5000.0,FESCUE,30.0,5.0,200.0,GOOD,7223.0,NORMAL,70.0,108.0,0.0,1.0,HARD,FAIR,It was a around 15 mph the whole week.,FULL,5.0,-10.0,RYAN FOX,-0.80930859,1.902238269,-0.636638846,-0.985170681,1.388619135,3.467173935,3.785233502,-0.822857753,-0.200593625,-0.331548446,-0.341438762,-0.441880834,-4.717179406,-4.069764882,51,12.36369574,14.26593401,NORMAL,SMALL,SLOW,THICK,LOW,LOTS,LOTS,NO,"Aberg, Ludvig",2026-09-02T15:52:39.396891Z,TOUR Championship,East Lake Golf Club
