tour,year,season,event_completed,event_name,event_id,player_name,dg_id,fin_text,round_num,course_name,course_num,course_par,start_hole,teetime,round_score,sg_putt,sg_arg,sg_app,sg_ott,sg_t2g,sg_total,driving_dist,driving_acc,gir,scrambling,prox_rgh,prox_fw,great_shots,poor_shots,eagles_or_better,birdies,pars,bogies,doubles_or_worse,outright_season,outright_event_completed,outright_book,outright_market,outright_open_odds,outright_open_time,outright_close_odds,outright_close_time,outright_outcome,outright_bet_outcome_text,outright_bet_outcome_numeric,dfs_season,dfs_site,dfs_ownerships_from,dfs_salary,dfs_ownership,dfs_fin_text,dfs_streak_pts,dfs_bogey_free_pts,dfs_hole_in_one_pts,dfs_sub_70_pts,dfs_hole_score_pts,dfs_finish_pts,dfs_total_pts,Birdie Or Better %,Birdie to Bogey Ratio,Bogey Avoidance %,Field Sum Eagles or Better,Field Sum Birdies,Field Sum Bogies,Field Sum Doubles or Worse,Field Num Players,Field Birdie or Better %,Field Birdie to Bogey Ratio,Field Bogey Avoidance %,SG_Birdie or Better %,sg_birdie_to_bogey_ratio,sg_bogey_avoidance,sg_driving_dist,sg_driving_acc,sg_gir,Total Driving,Ball Striking,Field Avg Dist,Field Avg Acc,Field Avg GIR,Norm SG Distance,Norm Fairways Gained,Norm Greens Gained,Norm SG Birdie or Better %,Norm SG Birdie to Bogey Ratio,Norm SG Bogey Avoidance,Field Prox FW,SG Prox FW,Norm SG Prox FW,Name Adjusted,LOCATION,DESIGNER,Redesigned,STYLE,GREENS,GREENS (2),GREEN SPEEDS,GREEN SIZE,FAIRWAYS,FAIRWAY LENGTH (sg.ft.),ROUGH LENGH,ROUGH ACRES (sg.ft.),DRAINAGE,YARDAGE,LENGTH,PAR,Bunkers,Water Hazards,Water Hazards in Play,SCORING,WEATHER,WEATHER DETAILS,TYPE,CUT,WINNING SCORE,WINNER,GD%,GG GAINED,B2B,BOB,EGG,EDG,Total Accuracy,200+,200-175,175-150,150-125,125-,PAR 4,PAR 5,Rounds,Sum TD,Sum BS,FAIRWAY WIDTH,GREEN WIDTH,GREEN SPEEDS,ROUGH LENGTH,WATER HAZARDS,ROUGH AMOUNT,BUNKERS,RAIN
euro,2025,2025,1/19/2025,Hero Dubai Desert Classic,2025106,"Coussaud, Ugo",20727,T74,1,emirates gc,4565,72,1,12:45:00 PM,73,,,,,,-1.664,,,,,,,,,0,3,11,4,0,2025,45676,draftkings,win,200/1,45670,170/1,45672,T74,loss,0,2025,draftkings,,7200,,T74,0,0,0,0,62.5,0,62.5,16.66666667,0.75,77.77777778,13,449,300,43,125,20.53333333,1.346938776,84.75555556,-3.866666667,-0.596938776,-6.977777778,-0.263759038,0,0,-0.017991939,-0.017991939,,,,-0.017991939,0,0,-0.441295098,-0.596938776,-0.821571371,,-0.017991939,0,Ugo Coussaud,,,,,,,,,,,,,,,,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,SMALL,SMALL,,,,,,NO
euro,2025,2025,1/19/2025,Hero Dubai Desert Classic,2025106,"Ko, Jeong Weon",26213,T68,1,emirates gc,4565,72,10,12:25:00 PM,73,,,,,,-1.664,,,,,,,,,0,4,10,3,1,2025,45676,draftkings,win,1/1/1000,45670,1/1/1500,45672,T68,loss,0,2025,draftkings,,6100,,T68,0,0,0,0,59,0,59,22.22222222,1,77.77777778,13,449,300,43,125,20.53333333,1.346938776,84.75555556,1.688888889,-0.346938776,-6.977777778,0.115205097,0,0,0.007858548,0.007858548,,,,0.007858548,0,0,0.192749583,-0.346938776,-0.821571371,,0.007858548,0,Jeong Weon Ko,,,,,,,,,,,,,,,,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,SMALL,SMALL,,,,,,NO
euro,2025,2025,1/19/2025,Hero Dubai Desert Classic,2025106,"Bresnu, Adam",26080,T68,4,emirates gc,4565,72,1,9:05:00 AM,77,,,,,,-4.899,,,,,,,,,0,1,14,1,2,,,,,,,,,,,,2025,draftkings,,6200,,T68,0,0,0,0,51.5,0,51.5,5.555555556,0.333333333,83.33333333,5,281,220,38,79,20.11251758,1.108527132,81.85654008,-14.55696203,-0.775193798,1.476793249,-0.992981976,0,0,-0.06773482,-0.06773482,,,,-0.06773482,0,0,-1.491886862,-0.775193798,0.141463228,,-0.06773482,0,Adam Bresnu,,,,,,,,,,,,,,,,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,SMALL,SMALL,,,,,,NO
euro,2025,2025,1/19/2025,Hero Dubai Desert Classic,2025106,"Bresnu, Adam",26080,T68,3,emirates gc,4565,72,1,8:50:00 AM,72,,,,,,0.595,,,,,,,,,0,2,14,2,0,,,,,,,,,,,,2025,draftkings,,6200,,T68,0,0,0,0,51.5,0,51.5,11.11111111,1,88.88888889,6,261,259,29,79,18.77637131,0.927083333,79.74683544,-7.665260197,0.072916667,9.142053446,-0.522874567,0,0,-0.035667127,-0.035667127,,,,-0.035667127,0,0,-0.843687569,0.072916667,0.958137749,,-0.035667127,0,Adam Bresnu,,,,,,,,,,,,,,,,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,SMALL,SMALL,,,,,,NO
euro,2025,2025,1/19/2025,Hero Dubai Desert Classic,2025106,"Bresnu, Adam",26080,T68,2,emirates gc,4565,72,1,8:35:00 AM,69,,,,,,2.984,,,,,,,,,0,4,13,1,0,,,,,,,,,,,,2025,draftkings,,6200,,T68,0,0,0,0,51.5,0,51.5,22.22222222,4,94.44444444,22,425,343,58,125,19.86666667,1.114713217,82.17777778,2.355555556,2.885286783,12.26666667,0.160680794,0,0,0.010960606,0.010960606,,,,0.010960606,0,0,0.259700372,2.885286783,1.368935907,,0.010960606,0,Adam Bresnu,,,,,,,,,,,,,,,,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,SMALL,SMALL,,,,,,NO
euro,2025,2025,1/19/2025,Hero Dubai Desert Classic,2025106,"Bresnu, Adam",26080,T68,1,emirates gc,4565,72,10,12:55:00 PM,73,,,,,,-1.664,,,,,,,,,0,4,9,5,0,,,,,,,,,,,,2025,draftkings,,6200,,T68,0,0,0,0,51.5,0,51.5,22.22222222,0.8,72.22222222,13,449,300,43,125,20.53333333,1.346938776,84.75555556,1.688888889,-0.546938776,-12.53333333,0.115205097,0,0,0.007858548,0.007858548,,,,0.007858548,0,0,0.192749583,-0.546938776,-1.475688704,,0.007858548,0,Adam Bresnu,,,,,,,,,,,,,,,,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,SMALL,SMALL,,,,,,NO
euro,2025,2025,1/19/2025,Hero Dubai Desert Classic,2025106,"Dean, Joe",16497,T68,4,emirates gc,4565,72,1,8:35:00 AM,75,,,,,,-2.899,,,,,,,,,0,3,10,4,1,2025,45676,draftkings,win,300/1,45670,300/1,45672,T68,loss,0,2025,draftkings,,6600,,T68,0,0,0,0,58,0,58,16.66666667,0.6,72.22222222,5,281,220,38,79,20.11251758,1.108527132,81.85654008,-3.445850914,-0.508527132,-9.634317862,-0.235053704,0,0,-0.016033846,-0.016033846,,,,-0.016033846,0,0,-0.353151963,-0.508527132,-0.922879155,,-0.016033846,0,Joe Dean,,,,,,,,,,,,,,,,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,SMALL,SMALL,,,,,,NO
euro,2025,2025,1/19/2025,Hero Dubai Desert Classic,2025106,"Dean, Joe",16497,T68,3,emirates gc,4565,72,1,7:35:00 AM,72,,,,,,0.595,,,,,,,,,0,4,10,4,0,2025,45676,draftkings,win,300/1,45670,300/1,45672,T68,loss,0,2025,draftkings,,6600,,T68,0,0,0,0,58,0,58,22.22222222,1,77.77777778,6,261,259,29,79,18.77637131,0.927083333,79.74683544,3.445850914,0.072916667,-1.969057665,0.235053704,0,0,0.016033846,0.016033846,,,,0.016033846,0,0,0.379272393,0.072916667,-0.206368131,,0.016033846,0,Joe Dean,,,,,,,,,,,,,,,,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,SMALL,SMALL,,,,,,NO
euro,2025,2025,1/19/2025,Hero Dubai Desert Classic,2025106,"Dean, Joe",16497,T68,2,emirates gc,4565,72,1,11:45:00 AM,72,,,,,,-0.016,,,,,,,,,0,4,10,4,0,2025,45676,draftkings,win,300/1,45670,300/1,45672,T68,loss,0,2025,draftkings,,6600,,T68,0,0,0,0,58,0,58,22.22222222,1,77.77777778,22,425,343,58,125,19.86666667,1.114713217,82.17777778,2.355555556,-0.114713217,-4.4,0.160680794,0,0,0.010960606,0.010960606,,,,0.010960606,0,0,0.259700372,-0.114713217,-0.491031358,,0.010960606,0,Joe Dean,,,,,,,,,,,,,,,,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,SMALL,SMALL,,,,,,NO
euro,2025,2025,1/19/2025,Hero Dubai Desert Classic,2025106,"Dean, Joe",16497,T68,1,emirates gc,4565,72,10,7:25:00 AM,72,,,,,,-0.664,,,,,,,,,0,5,9,3,1,2025,45676,draftkings,win,300/1,45670,300/1,45672,T68,loss,0,2025,draftkings,,6600,,T68,0,0,0,0,58,0,58,27.77777778,1.25,77.77777778,13,449,300,43,125,20.53333333,1.346938776,84.75555556,7.244444444,-0.096938776,-6.977777778,0.494169233,0,0,0.033709035,0.033709035,,,,0.033709035,0,0,0.826794263,-0.096938776,-0.821571371,,0.033709035,0,Joe Dean,,,,,,,,,,,,,,,,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,SMALL,SMALL,,,,,,NO
