tour,year,season,event_completed,event_name,event_id,player_name,dg_id,fin_text,round_num,course_name,course_num,course_par,start_hole,teetime,round_score,sg_putt,sg_arg,sg_app,sg_ott,sg_t2g,sg_total,driving_dist,driving_acc,gir,scrambling,prox_rgh,prox_fw,great_shots,poor_shots,eagles_or_better,birdies,pars,bogies,doubles_or_worse,outright_season,outright_event_completed,outright_book,outright_market,outright_open_odds,outright_open_time,outright_close_odds,outright_close_time,outright_outcome,outright_bet_outcome_text,outright_bet_outcome_numeric,dfs_season,dfs_site,dfs_ownerships_from,dfs_salary,dfs_ownership,dfs_fin_text,dfs_streak_pts,dfs_bogey_free_pts,dfs_hole_in_one_pts,dfs_sub_70_pts,dfs_hole_score_pts,dfs_finish_pts,dfs_total_pts,Birdie Or Better %,Birdie to Bogey Ratio,Bogey Avoidance %,Field Sum Eagles or Better,Field Sum Birdies,Field Sum Bogies,Field Sum Doubles or Worse,Field Num Players,Field Birdie or Better %,Field Birdie to Bogey Ratio,Field Bogey Avoidance %,SG_Birdie or Better %,sg_birdie_to_bogey_ratio,sg_bogey_avoidance,sg_driving_dist,sg_driving_acc,sg_gir,Total Driving,Ball Striking,Field Avg Dist,Field Avg Acc,Field Avg GIR,Norm SG Distance,Norm Fairways Gained,Norm Greens Gained,Norm SG Birdie or Better %,Norm SG Birdie to Bogey Ratio,Norm SG Bogey Avoidance,Field Prox FW,SG Prox FW,Norm SG Prox FW,Name Adjusted,LOCATION,DESIGNER,Redesigned,STYLE,GREENS,GREENS (2),GREEN SPEEDS,GREEN SIZE,FAIRWAYS,FAIRWAY LENGTH (sg.ft.),ROUGH LENGH,ROUGH ACRES (sg.ft.),DRAINAGE,YARDAGE,LENGTH,PAR,Bunkers,Water Hazards,Water Hazards in Play,SCORING,WEATHER,WEATHER DETAILS,TYPE,CUT,WINNING SCORE,WINNER,GD%,GG GAINED,B2B,BOB,EGG,EDG,Total Accuracy,200+,200-175,175-150,150-125,125-,PAR 4,PAR 5,Rounds,Sum TD,Sum BS,FAIRWAY WIDTH,GREEN WIDTH,GREEN SPEEDS,ROUGH LENGTH,WATER HAZARDS,ROUGH AMOUNT,BUNKERS,RAIN
pga,2026,2026,1/18/2026,Sony Open in Hawaii,6,"Gotterup, Chris",27774,1,1,Waialae Country Club,6,70,10,7:54:00 AM,63,1.633,0.4,1.933,1.817,4.15,5.783,311.3,0.643,0.833,0.857,56.771,18.422,4,1,0,8,9,1,0,2026,1/18/2026,draftkings,win,45/1,1/12/2026,50/1,1/15/2026,1,paid in full,1,2026,draftkings,PGA TOUR $500K Season Tee Off [$100K to 1st],8500,0.069,1,0,0,0,5,85,30,120,44.44444444,8,94.44444444,22,443,283,28,120,21.52777778,1.495176849,85.60185185,22.91666667,6.504823151,8.842592593,1.562500823,0.402616667,2.4273,0.29621613,2.72351613,290.3033333,0.614241667,0.69815,0.106534203,0.189681927,1.071591393,2.246764579,6.504823151,0.903893624,29.01038333,-18.3154658,0.025736353,Chris Gotterup,HAWAII,SETH RAYNOR,,SEASIDE,Bermuda,,NA,6500,BERMUDA,50,NA,100,FAIR,7044,SHORT,70,83,4,4,NORMAL,FAIR,Winds were around 15-20 mph the whole tournament.,FULL,-1,-16,CHRIS GOTTERUP,0.191986037,1.488553313,-0.544675926,0.627505643,0.738026656,3.36164162,3.179404948,-0.412261972,0.003316385,0.294029917,-0.247146553,-0.270603073,-4.45,-4.215972222,4,11.24156648,12.73011979,WIDE,WIDE,,,DECENT,LOTS,NORMAL,NO
pga,2026,2026,1/18/2026,Sony Open in Hawaii,6,"Mitchell, Keith",17365,T66,1,Waialae Country Club,6,70,10,7:10:00 AM,71,-1.548,0.376,-1.895,0.85,-0.669,-2.217,298.2,0.643,0.667,0.625,80.818,34.723,2,3,0,4,9,5,0,2026,1/18/2026,draftkings,win,40/1,1/12/2026,55/1,1/15/2026,T66,loss,0,2026,draftkings,PGA TOUR $500K Season Tee Off [$100K to 1st],8700,0.0537,T66,0,0,0,0,59.5,0,59.5,22.22222222,0.8,72.22222222,22,443,283,28,120,21.52777778,1.495176849,85.60185185,0.694444444,-0.695176849,-13.37962963,0.04734851,0.402616667,-0.5607,0.192910236,-0.367789764,290.3033333,0.614241667,0.69815,0.003228309,0.189681927,-0.247534831,0.068083775,-0.695176849,-1.367671504,29.01038333,-34.71977169,0.025736353,Keith Mitchell,HAWAII,SETH RAYNOR,,SEASIDE,Bermuda,,NA,6500,BERMUDA,50,NA,100,FAIR,7044,SHORT,70,83,4,4,NORMAL,FAIR,Winds were around 15-20 mph the whole tournament.,FULL,-1,-16,CHRIS GOTTERUP,0.442026037,1.238578313,-0.697453704,-1.398135383,0.458039156,3.39290162,3.201921198,-0.651392407,-0.0823979,-0.305970083,-0.16311294,-0.205897191,-4.325,-4.049305556,4,11.89160648,13.13018479,WIDE,WIDE,,,DECENT,LOTS,NORMAL,NO
pga,2026,2026,1/18/2026,Sony Open in Hawaii,6,"Highsmith, Joe",28469,T66,4,Waialae Country Club,6,70,1,7:37:00 AM,69,0.259,-1.572,-0.493,0.724,-1.341,-1.081,301.4,0.714,0.667,0.5,51.151,30.359,3,5,0,3,13,2,0,2026,1/18/2026,draftkings,win,450/1,1/12/2026,450/1,1/15/2026,T66,loss,0,2026,draftkings,PGA TOUR $500K Season Tee Off [$100K to 1st],6000,0.002,T66,3,0,0,0,63.5,0,66.5,16.66666667,1.5,88.88888889,4,298,140,6,74,22.67267267,2.068493151,89.03903904,-6.006006006,-0.568493151,-0.15015015,-0.409500625,1.415702703,-1.480621622,0.639049434,-0.841572188,297.7027027,0.612878378,0.749256757,-0.027920512,0.666969946,-0.653656897,-0.76571655,-0.568493151,-0.020576315,26.91493243,-30.38692051,0.090495568,Joe Highsmith,HAWAII,SETH RAYNOR,,SEASIDE,Bermuda,,NA,6500,BERMUDA,50,NA,100,FAIR,7044,SHORT,70,83,4,4,NORMAL,FAIR,Winds were around 15-20 mph the whole tournament.,FULL,-1,-16,CHRIS GOTTERUP,-0.057983963,-0.261451687,-0.683564815,-0.978554964,-0.225725844,0.89039912,0.678786198,-0.651392407,-0.119607203,-0.243470083,-0.078697355,-0.117008302,-4.325,-3.965972222,4,3.16659648,2.905144793,WIDE,WIDE,,,DECENT,LOTS,NORMAL,NO
pga,2026,2026,1/18/2026,Sony Open in Hawaii,6,"Highsmith, Joe",28469,T66,3,Waialae Country Club,6,70,1,10:05:00 AM,73,0.618,0.199,-3.228,-0.453,-3.482,-2.865,297.7,0.357,0.5,0.545,83.875,36.319,3,5,0,2,11,5,0,2026,1/18/2026,draftkings,win,450/1,1/12/2026,450/1,1/15/2026,T66,loss,0,2026,draftkings,PGA TOUR $500K Season Tee Off [$100K to 1st],6000,0.002,T66,3,0,0,0,63.5,0,66.5,11.11111111,0.4,72.22222222,6,251,228,21,74,19.29429429,1.032128514,81.30630631,-8.183183183,-0.632128514,-9.084084084,-0.557944602,-2.933189189,-3.339,-1.419934259,-4.758934259,295.2513514,0.566513514,0.6855,-0.038041697,-1.381892562,-1.474083822,-1.012670017,-0.632128514,-1.049653985,33.61913514,-36.3570417,-0.187497432,Joe Highsmith,HAWAII,SETH RAYNOR,,SEASIDE,Bermuda,,NA,6500,BERMUDA,50,NA,100,FAIR,7044,SHORT,70,83,4,4,NORMAL,FAIR,Winds were around 15-20 mph the whole tournament.,FULL,-1,-16,CHRIS GOTTERUP,-0.057983963,-0.261451687,-0.683564815,-0.978554964,-0.225725844,0.89039912,0.678786198,-0.651392407,-0.119607203,-0.243470083,-0.078697355,-0.117008302,-4.325,-3.965972222,4,3.16659648,2.905144793,WIDE,WIDE,,,DECENT,LOTS,NORMAL,NO
pga,2026,2026,1/18/2026,Sony Open in Hawaii,6,"Highsmith, Joe",28469,T66,2,Waialae Country Club,6,70,1,7:43:00 AM,69,-1.044,-0.988,3.296,-0.23,2.078,1.034,289.9,0.714,0.778,0.25,78.333,24.416,3,5,0,7,7,2,2,2026,1/18/2026,draftkings,win,450/1,1/12/2026,450/1,1/15/2026,T66,loss,0,2026,draftkings,PGA TOUR $500K Season Tee Off [$100K to 1st],6000,0.002,T66,3,0,0,0,63.5,0,66.5,38.88888889,1.75,77.77777778,11,417,376,31,119,19.98132586,1.051597052,80.99906629,18.90756303,0.698402948,-3.221288515,1.289152703,1.719647059,2.145176471,0.89806191,3.043238381,292.8378151,0.591168067,0.658823529,0.087896822,0.810165089,0.94704101,2.281233509,0.698402948,-0.330593909,32.53921008,-24.32810318,0.109924518,Joe Highsmith,HAWAII,SETH RAYNOR,,SEASIDE,Bermuda,,NA,6500,BERMUDA,50,NA,100,FAIR,7044,SHORT,70,83,4,4,NORMAL,FAIR,Winds were around 15-20 mph the whole tournament.,FULL,-1,-16,CHRIS GOTTERUP,-0.057983963,-0.261451687,-0.683564815,-0.978554964,-0.225725844,0.89039912,0.678786198,-0.651392407,-0.119607203,-0.243470083,-0.078697355,-0.117008302,-4.325,-3.965972222,4,3.16659648,2.905144793,WIDE,WIDE,,,DECENT,LOTS,NORMAL,NO
pga,2026,2026,1/18/2026,Sony Open in Hawaii,6,"Highsmith, Joe",28469,T66,1,Waialae Country Club,6,70,10,12:13:00 PM,68,0.558,0.197,-0.192,0.22,0.225,0.783,295.9,0.571,0.722,0.571,99.564,25.746,6,3,0,5,10,3,0,2026,1/18/2026,draftkings,win,450/1,1/12/2026,450/1,1/15/2026,T66,loss,0,2026,draftkings,PGA TOUR $500K Season Tee Off [$100K to 1st],6000,0.002,T66,3,0,0,0,63.5,0,66.5,27.77777778,1.666666667,83.33333333,22,443,283,28,120,21.52777778,1.495176849,85.60185185,6.25,0.171489818,-2.268518519,0.426136588,-0.605383333,0.4293,-0.256155162,0.173144838,290.3033333,0.614241667,0.69815,0.029054783,-0.285209944,0.189525063,0.612753976,0.171489818,-0.23188894,29.01038333,-25.71694522,-0.038697749,Joe Highsmith,HAWAII,SETH RAYNOR,,SEASIDE,Bermuda,,NA,6500,BERMUDA,50,NA,100,FAIR,7044,SHORT,70,83,4,4,NORMAL,FAIR,Winds were around 15-20 mph the whole tournament.,FULL,-1,-16,CHRIS GOTTERUP,-0.057983963,-0.261451687,-0.683564815,-0.978554964,-0.225725844,0.89039912,0.678786198,-0.651392407,-0.119607203,-0.243470083,-0.078697355,-0.117008302,-4.325,-3.965972222,4,3.16659648,2.905144793,WIDE,WIDE,,,DECENT,LOTS,NORMAL,NO
pga,2026,2026,1/18/2026,Sony Open in Hawaii,6,"Harman, Brian",8825,T61,4,Waialae Country Club,6,70,1,7:37:00 AM,68,0.207,1.391,-2.192,0.512,-0.289,-0.081,301.2,0.643,0.722,1,59.777,34.1,2,2,0,3,14,1,0,2026,1/18/2026,draftkings,win,50/1,1/12/2026,45/1,1/15/2026,T61,loss,0,2026,draftkings,PGA TOUR $500K Season Tee Off [$100K to 1st],8000,0.1139,T61,3,0,0,0,64.5,0,67.5,16.66666667,3,94.44444444,4,298,140,6,74,22.67267267,2.068493151,89.03903904,-6.006006006,0.931506849,5.405405405,-0.409500625,0.421702703,-0.490621622,0.170753283,-0.319868338,297.7027027,0.612878378,0.749256757,-0.027920512,0.198673795,-0.216597004,-0.76571655,0.931506849,0.740747357,26.91493243,-34.12792051,0.026956384,Brian Harman,HAWAII,SETH RAYNOR,,SEASIDE,Bermuda,,NA,6500,BERMUDA,50,NA,100,FAIR,7044,SHORT,70,83,4,4,NORMAL,FAIR,Winds were around 15-20 mph the whole tournament.,FULL,-1,-16,CHRIS GOTTERUP,-0.557993963,0.738493313,-0.697453704,-1.372494357,0.177996656,0.29289662,0.418144948,-0.749471274,-0.068112186,-0.172636749,-0.16311294,-0.211779544,-4.45,-4.049305556,4,1.31658648,2.055079793,WIDE,WIDE,,,DECENT,LOTS,NORMAL,NO
pga,2026,2026,1/18/2026,Sony Open in Hawaii,6,"Harman, Brian",8825,T61,3,Waialae Country Club,6,70,1,10:50:00 AM,74,-0.985,-1.876,-0.118,-0.885,-2.879,-3.865,298.4,0.357,0.722,0.167,58.495,36.409,3,6,0,4,6,8,0,2026,1/18/2026,draftkings,win,50/1,1/12/2026,45/1,1/15/2026,T61,loss,0,2026,draftkings,PGA TOUR $500K Season Tee Off [$100K to 1st],8000,0.1139,T61,3,0,0,0,64.5,0,67.5,22.22222222,0.5,55.55555556,6,251,228,21,74,19.29429429,1.032128514,81.30630631,2.927927928,-0.532128514,-25.75075075,0.199631555,-2.933189189,0.657,-1.368281312,-0.711281312,295.2513514,0.566513514,0.6855,0.01361125,-1.381892562,0.290048838,0.362331474,-0.532128514,-2.975465428,33.61913514,-36.39538875,-0.187497432,Brian Harman,HAWAII,SETH RAYNOR,,SEASIDE,Bermuda,,NA,6500,BERMUDA,50,NA,100,FAIR,7044,SHORT,70,83,4,4,NORMAL,FAIR,Winds were around 15-20 mph the whole tournament.,FULL,-1,-16,CHRIS GOTTERUP,-0.557993963,0.738493313,-0.697453704,-1.372494357,0.177996656,0.29289662,0.418144948,-0.749471274,-0.068112186,-0.172636749,-0.16311294,-0.211779544,-4.45,-4.049305556,4,1.31658648,2.055079793,WIDE,WIDE,,,DECENT,LOTS,NORMAL,NO
pga,2026,2026,1/18/2026,Sony Open in Hawaii,6,"Harman, Brian",8825,T61,2,Waialae Country Club,6,70,10,8:05:00 AM,68,0.513,0.019,0.66,0.842,1.521,2.034,292.8,0.714,0.722,0.5,56.031,29.766,3,2,0,5,10,3,0,2026,1/18/2026,draftkings,win,50/1,1/12/2026,45/1,1/15/2026,T61,loss,0,2026,draftkings,PGA TOUR $500K Season Tee Off [$100K to 1st],8000,0.1139,T61,3,0,0,0,64.5,0,67.5,27.77777778,1.666666667,83.33333333,11,417,376,31,119,19.98132586,1.051597052,80.99906629,7.796451914,0.615069615,2.33426704,0.531576547,1.719647059,1.137176471,0.846408963,1.983585434,292.8378151,0.591168067,0.658823529,0.036243875,0.810165089,0.502034573,0.94065678,0.615069615,0.239560804,32.53921008,-29.72975613,0.109924518,Brian Harman,HAWAII,SETH RAYNOR,,SEASIDE,Bermuda,,NA,6500,BERMUDA,50,NA,100,FAIR,7044,SHORT,70,83,4,4,NORMAL,FAIR,Winds were around 15-20 mph the whole tournament.,FULL,-1,-16,CHRIS GOTTERUP,-0.557993963,0.738493313,-0.697453704,-1.372494357,0.177996656,0.29289662,0.418144948,-0.749471274,-0.068112186,-0.172636749,-0.16311294,-0.211779544,-4.45,-4.049305556,4,1.31658648,2.055079793,WIDE,WIDE,,,DECENT,LOTS,NORMAL,NO
pga,2026,2026,1/18/2026,Sony Open in Hawaii,6,"Harman, Brian",8825,T61,1,Waialae Country Club,6,70,1,12:35:00 PM,68,1.084,0.397,-0.05,-0.648,-0.301,0.783,287.1,0.5,0.722,0.667,101.44,25.083,3,1,1,2,13,2,0,2026,1/18/2026,draftkings,win,50/1,1/12/2026,45/1,1/15/2026,T61,loss,0,2026,draftkings,PGA TOUR $500K Season Tee Off [$100K to 1st],8000,0.1139,T61,3,0,0,0,64.5,0,67.5,16.66666667,1.5,88.88888889,22,443,283,28,120,21.52777778,1.495176849,85.60185185,-4.861111111,0.004823151,3.287037037,-0.331439569,-1.599383333,0.4293,-0.776104259,-0.346804259,290.3033333,0.614241667,0.69815,-0.022598164,-0.753506095,0.189525063,-0.476586426,0.004823151,0.336002342,29.01038333,-25.10559816,-0.102236933,Brian Harman,HAWAII,SETH RAYNOR,,SEASIDE,Bermuda,,NA,6500,BERMUDA,50,NA,100,FAIR,7044,SHORT,70,83,4,4,NORMAL,FAIR,Winds were around 15-20 mph the whole tournament.,FULL,-1,-16,CHRIS GOTTERUP,-0.557993963,0.738493313,-0.697453704,-1.372494357,0.177996656,0.29289662,0.418144948,-0.749471274,-0.068112186,-0.172636749,-0.16311294,-0.211779544,-4.45,-4.049305556,4,1.31658648,2.055079793,WIDE,WIDE,,,DECENT,LOTS,NORMAL,NO
