TOURNAMENT FINISHING DATE,SEASON,TOURNAMENT,COURSE NAME,LOCATION,DESIGNER,Redesigned,STYLE,GREENS,GREENS (2),GREEN SPEEDS,GREEN SIZE,FAIRWAYS,FAIRWAY LENGTH (sg.ft.),ROUGH LENGH,ROUGH ACRES (sg.ft.),DRAINAGE,YARDAGE,LENGTH,PAR,Bunkers,Water Hazards,Water Hazards in Play,SCORING,WEATHER,WEATHER DETAILS,TYPE,CUT,WINNING SCORE,FAIRWAY WIDTH,GREEN WIDTH,GREEN SPEEDS,ROUGH LENGTH,WATER HAZARDS,ROUGH AMOUNT,BUNKERS,RAIN,KEY STAT 1,KEY STAT 2,KEY STAT 3,KEY STAT 4,KEY STAT 5,WEEKLY KEY STAT 1,WEEKLY KEY STAT 2,WEEKLY KEY STAT 3,WEEKLY KEY STAT 4,Latitude Tournament,Longitude Tournament
8/2/2026,2026,ROCKET MORTGAGE CLASSIC,DETROIT GOLF CLUB,MICHIGAN,DONALD ROSS,,PARKLAND,BENT,POA,NA,5150,BENT,30,4,60,GOOD,7340,NORMAL,70,87,1,1,EASY,FAIR,WEATHER WAS GOOD FOR THURSDAY - SATURDAY. ON SUNDAY THE WIND GOT UP TO 20 MPH MAKING IT A DIFFICULT SCORING ROUND.,FULL,-6,-22,NORMAL,SMALL,,THICK,LOW,NORMAL,NORMAL,NO,STROKES GAINED APPROACH,BIRDIE OR BETTER %,BALL STRIKING,TOTAL DRIVING,PAR 5 SCORING,STROKES GAINED DIFFERENTIAL,STROKES GAINED TOTAL LAST 20 ROUNDS,STROKES GAINED TEE TO GREEN LAST 20 ROUNDS,STROKES GAINED PUTTING LAST 20 ROUNDS,42.4263°N,83.1262°W
8/9/22026,2026,WYNDHAM CHAMPIONSHIP,SEDGEFIELD,NORTH CAROLINA,DONALD ROSS,KRIS SPENCER,PARKLAND,BERMUDA,CHAMPION,NA,6000,BERMUDA,25,2.5,75,BAD,7131,NORMAL,70,52,5,6,NORMAL,GOOD,"EXTREME RAIN CAUSED THE COURSE TO FLOOD AS A RESULT THE TOURNAMENT WAS NOT PLAYED ON THURSDAY. ON SUNDAY THEY HAD TO PLAY 36 HOLES. OVERALL THOUGH THE WEATHER WAS GOOD, JUST A WET COURSE.",FULL,-4,-18,SMALL,SMALL,,NORMAL,DECENT,NORMAL,LITTLE,YES,STROKES GAINED APPROACH,BIRDIE OR BETTER %,BALL STRIKING,TOTAL DRIVING,PAR 5 SCORING,STROKES GAINED DIFFERENTIAL,STROKES GAINED TOTAL LAST 20 ROUNDS,STROKES GAINED TEE TO GREEN LAST 20 ROUNDS,STROKES GAINED PUTTING LAST 20 ROUNDS,36.014° N,79.887° W
8/16/2026,2026,FEDEX ST. JUDE CHAMPIONSHIP,TPC SOUTHWIND,TENNESSEE,RON PRICHARD,,TPC,BERMUDA,CHAMPION,NA,4300,ZOYSIA,22,2.5,115,GOOD,7277,NORMAL,70,75,11,11,NORMAL,GREAT,SOFT CONDITIONS ON THURSDAYS.,NO CUT,,-16,SMALL,SMALL,,NORMAL,MANY,LOTS,NORMAL,NO,BIRDIE OR BETTER %,BALL STRIKING,TOTAL DRIVING,STROKES GAINED PUTTING,STROKE DIFFERENTIAL,STROKES GAINED DIFFERENTIAL,STROKES GAINED TOTAL LAST 20 ROUNDS,STROKES GAINED TEE TO GREEN LAST 20 ROUNDS,STROKES GAINED PUTTING LAST 20 ROUNDS,35.057° N,89.779° W
8/23/2026,2026,BMW CHAMPIONSHIP,BELLERIVE COUNTRY CLUB,MISSOURI,ROBERT TRENT JONES,,PARKLAND,BENT,T1 BENTGRASS,NA,7600,ZOYSIA,34,4,,GOOD,7448,LONG,70,76,11,11,HARD,FAIR,LATE SUMMER ST. LOUIS CONDITIONS - EXPECTED FIRM/FAST GREENS IF DRY BUT CAN SOFTEN WITH HUMIDITY/RAIN. COURSE LENGTHENED (ESPECIALLY 17TH).,NO CUT,,,NORMAL,LARGE,,THICK,MANY,NORMAL,NORMAL,,TOTAL DRIVING,BOGEY AVOIDANCE,STROKES GAINED APPROACH,STROKES GAINED TEE TO GREEN,PAR 4 SCORING,STROKES GAINED DIFFERENTIAL,STROKES GAINED TOTAL LAST 20 ROUNDS,STROKES GAINED TEE TO GREEN LAST 20 ROUNDS,STROKES GAINED PUTTING LAST 20 ROUNDS,38.66°N,90.483°W
8/30,2026,TOUR CHAMPIONSHIP,EAST LAKE,GEORGIA,DONALD ROSS,REES JONES,PARKLAND,BERMUDA,ULTRADWARF,12.5,6300,ZOYSIA,23,100,100,GOOD,7319,NORMAL,70,74,6,6,HARD,GOOD,Thursday : Sunny with a high of 93. Wind ESE at 5-10 mph. Friday : Sunny with a high of 91. Wind SE at 5-10 mph. Saturday : Partly cloudy with a high of 90. Wind SSE at 4-8 mph. Sunday : Partly cloudy with a high of 90. Wind SE at 5-10 mph.,NO CUT,NA,-18,SMALL,SMALL,FAST,THICK,DECENT,LOTS,NORMAL,NO,TOTAL DRIVING,BALL STRIKING,PAR 5 SCORING,BIRDIE TO BOGEY RATIO,STROKES GAINED TEE TO GREEN,STROKES GAINED DIFFERENTIAL,STROKES GAINED TOTAL LAST 20 ROUNDS,STROKES GAINED TEE TO GREEN LAST 20 ROUNDS,STROKES GAINED PUTTING LAST 20 ROUNDS,33.743°N,84.303°W
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
