player_name,stat_type,prizepicks_line,underdog_line,average_line,higher_price_ud,lower_price_ud,book_avg,sg_total_avg,proj,is_matchup
Adam Scott,Birdies Or Better,4.5,4.5,4.5,109.0,-134.0,4.5,,4.5,False
Adam Scott,Pars,11.0,,11.0,,,11.0,,11.0,False
Adam Scott,R1 Leaderboard Position,,10.5,10.5,,162.0,10.5,,10.5,False
Adam Scott,Round Strokes,,68.5,68.5,-103.0,-120.0,68.03333333333333,,68.03333333333333,False
Adam Scott,Strokes,68.5,,68.5,,,68.06666666666666,,68.06666666666666,False
Adam Scott,Tourney Finishing Position,,20.5,20.5,,-179.0,10.5,,10.5,False
Akshay Bhatia,Birdies Or Better,4.0,4.5,4.25,126.0,-157.0,4.5,,4.5,False
Akshay Bhatia,Bogeys or Worse,,2.5,2.5,-134.0,109.0,2.5,,2.5,False
Akshay Bhatia,Fairways Hit,,7.5,7.5,-114.0,-108.0,8.125,,8.125,False
Akshay Bhatia,Greens In Regulation,,11.5,11.5,-117.0,-106.0,11.923076923076923,,11.923076923076923,False
Akshay Bhatia,Pars,11.0,,11.0,,,11.0,,11.0,False
Akshay Bhatia,R1 Leaderboard Position,,10.5,10.5,,198.0,10.5,,10.5,False
Akshay Bhatia,Round Strokes,,68.5,68.5,-129.0,105.0,68.03333333333333,,68.03333333333333,False
Akshay Bhatia,Strokes,68.5,,68.5,,,68.06666666666666,,68.06666666666666,False
Akshay Bhatia,Tourney Finishing Position,,20.5,20.5,,-129.0,10.5,,10.5,False
Alex Fitzpatrick,Birdies Or Better,4.0,4.5,4.25,142.0,-176.0,4.5,,4.5,False
Alex Fitzpatrick,Bogeys or Worse,2.5,,2.5,,,2.5,,2.5,False
Alex Fitzpatrick,Pars,11.0,,11.0,,,11.0,,11.0,False
Alex Fitzpatrick,R1 Leaderboard Position,,10.5,10.5,,198.0,10.5,,10.5,False
Alex Fitzpatrick,Round Strokes,,68.5,68.5,-125.0,103.0,68.03333333333333,,68.03333333333333,False
Alex Fitzpatrick,Strokes,68.5,,68.5,,,68.06666666666666,,68.06666666666666,False
Alex Fitzpatrick,Tourney Finishing Position,,20.5,20.5,,-143.0,10.5,,10.5,False
Alex Smalley,Birdies Or Better,4.0,4.5,4.25,125.0,-154.0,4.5,,4.5,False
Alex Smalley,Bogeys or Worse,2.5,,2.5,,,2.5,,2.5,False
Alex Smalley,Pars,11.0,,11.0,,,11.0,,11.0,False
Alex Smalley,R1 Leaderboard Position,,10.5,10.5,,177.0,10.5,,10.5,False
Alex Smalley,Round Strokes,,68.5,68.5,-112.0,-112.0,68.03333333333333,,68.03333333333333,False
Alex Smalley,Strokes,68.5,,68.5,,,68.06666666666666,,68.06666666666666,False
Alex Smalley,Tourney Finishing Position,,20.5,20.5,,-173.0,10.5,,10.5,False
Cameron Young,Birdies Or Better,4.5,4.5,4.5,-109.0,-113.0,4.5,,4.5,False
Cameron Young,Birdies or Better Matchup,0.5,,0.5,,,0.5,,0.5,True
Cameron Young,Bogeys or Worse,,2.5,2.5,124.0,-152.0,2.5,,2.5,False
Cameron Young,Fairways Hit,,7.5,7.5,-141.0,115.0,8.125,,8.125,False
Cameron Young,Greens In Regulation,,12.5,12.5,117.0,-143.0,11.923076923076923,,11.923076923076923,False
Cameron Young,Holes 1-9 Strokes,,33.5,33.5,-141.0,114.0,33.5,,33.5,False
Cameron Young,Holes 10-18 Strokes,,33.5,33.5,-137.0,111.0,33.5,,33.5,False
Cameron Young,Holes 16-17-18 Strokes,,12.5,12.5,-104.0,-120.0,12.5,,12.5,False
Cameron Young,Pars,11.0,,11.0,,,11.0,,11.0,False
Cameron Young,R1 Leaderboard Position,,10.5,10.5,,114.0,10.5,,10.5,False
Cameron Young,Round Strokes,,67.5,67.5,-124.0,101.0,68.03333333333333,,68.03333333333333,False
Cameron Young,Strokes,68.0,,68.0,,,68.06666666666666,,68.06666666666666,False
Cameron Young,Tourney Finishing Position,,10.5,10.5,,-103.0,10.5,,10.5,False
Chris Gotterup,Birdies Or Better,4.5,4.5,4.5,-117.0,-106.0,4.5,,4.5,False
Chris Gotterup,Bogeys or Worse,,2.5,2.5,110.0,-136.0,2.5,,2.5,False
Chris Gotterup,Fairways Hit,,7.5,7.5,125.0,-154.0,8.125,,8.125,False
Chris Gotterup,Greens In Regulation,,12.5,12.5,128.0,-159.0,11.923076923076923,,11.923076923076923,False
Chris Gotterup,Holes 1-9 Strokes,,33.5,33.5,-150.0,122.0,33.5,,33.5,False
Chris Gotterup,Holes 10-18 Strokes,,33.5,33.5,-145.0,118.0,33.5,,33.5,False
Chris Gotterup,Holes 16-17-18 Strokes,,12.5,12.5,-106.0,-117.0,12.5,,12.5,False
Chris Gotterup,Pars,11.0,,11.0,,,11.0,,11.0,False
Chris Gotterup,R1 Leaderboard Position,,10.5,10.5,,124.0,10.5,,10.5,False
Chris Gotterup,Round Strokes,,67.5,67.5,-136.0,111.0,68.03333333333333,,68.03333333333333,False
Chris Gotterup,Strokes,68.0,,68.0,,,68.06666666666666,,68.06666666666666,False
Chris Gotterup,Tourney Finishing Position,,10.5,10.5,,113.0,10.5,,10.5,False
Collin Morikawa,Birdies Or Better,4.5,4.5,4.5,-110.0,-112.0,4.5,,4.5,False
Collin Morikawa,Bogeys or Worse,2.0,2.5,2.25,120.0,-148.0,2.5,,2.5,False
Collin Morikawa,Fairways Hit,,9.5,9.5,129.0,-159.0,8.125,,8.125,False
Collin Morikawa,Greens In Regulation,,12.5,12.5,116.0,-143.0,11.923076923076923,,11.923076923076923,False
Collin Morikawa,Holes 1-9 Strokes,,33.5,33.5,-145.0,118.0,33.5,,33.5,False
Collin Morikawa,Holes 10-18 Strokes,,33.5,33.5,-141.0,114.0,33.5,,33.5,False
Collin Morikawa,Holes 16-17-18 Strokes,,12.5,12.5,-105.0,-118.0,12.5,,12.5,False
Collin Morikawa,Pars,11.0,,11.0,,,11.0,,11.0,False
Collin Morikawa,R1 Leaderboard Position,,10.5,10.5,,124.0,10.5,,10.5,False
Collin Morikawa,Round Strokes,,67.5,67.5,-124.0,101.0,68.03333333333333,,68.03333333333333,False
Collin Morikawa,Strokes,67.5,,67.5,,,68.06666666666666,,68.06666666666666,False
Collin Morikawa,Tourney Finishing Position,,10.5,10.5,,121.0,10.5,,10.5,False
Gary Woodland,Birdies Or Better,4.5,4.5,4.5,107.0,-132.0,4.5,,4.5,False
Gary Woodland,Bogeys or Worse,2.5,,2.5,,,2.5,,2.5,False
Gary Woodland,Pars,11.0,,11.0,,,11.0,,11.0,False
Gary Woodland,R1 Leaderboard Position,,10.5,10.5,,171.0,10.5,,10.5,False
Gary Woodland,Round Strokes,,68.5,68.5,-108.0,-114.0,68.03333333333333,,68.03333333333333,False
Gary Woodland,Strokes,68.5,,68.5,,,68.06666666666666,,68.06666666666666,False
Gary Woodland,Tourney Finishing Position,,20.5,20.5,,-159.0,10.5,,10.5,False
Hideki Matsuyama,Birdies Or Better,,4.5,4.5,104.0,-127.0,4.5,,4.5,False
Hideki Matsuyama,Bogeys or Worse,,2.5,2.5,115.0,-141.0,2.5,,2.5,False
Hideki Matsuyama,Greens In Regulation,,11.5,11.5,-132.0,108.0,11.923076923076923,,11.923076923076923,False
Hideki Matsuyama,Pars,11.0,,11.0,,,11.0,,11.0,False
Hideki Matsuyama,R1 Leaderboard Position,,10.5,10.5,,140.0,10.5,,10.5,False
Hideki Matsuyama,Round Strokes,,68.5,68.5,115.0,-141.0,68.03333333333333,,68.03333333333333,False
Hideki Matsuyama,Strokes,68.0,,68.0,,,68.06666666666666,,68.06666666666666,False
Hideki Matsuyama,Tourney Finishing Position,,10.5,10.5,,154.0,10.5,,10.5,False
J.J. Spaun,Birdies Or Better,4.0,4.5,4.25,114.0,-139.0,4.5,,4.5,False
J.J. Spaun,Bogeys or Worse,2.5,2.5,2.5,-102.0,-122.0,2.5,,2.5,False
J.J. Spaun,Fairways Hit,,8.5,8.5,-124.0,101.0,8.125,,8.125,False
J.J. Spaun,Greens In Regulation,,12.5,12.5,109.0,-134.0,11.923076923076923,,11.923076923076923,False
J.J. Spaun,Pars,11.0,,11.0,,,11.0,,11.0,False
J.J. Spaun,R1 Leaderboard Position,,10.5,10.5,,166.0,10.5,,10.5,False
J.J. Spaun,Round Strokes,,68.5,68.5,-107.0,-115.0,68.03333333333333,,68.03333333333333,False
J.J. Spaun,Strokes,68.5,,68.5,,,68.06666666666666,,68.06666666666666,False
J.J. Spaun,Tourney Finishing Position,,10.5,10.5,,182.0,10.5,,10.5,False
Jacob Bridgeman,Birdies Or Better,4.5,4.5,4.5,120.0,-148.0,4.5,,4.5,False
Jacob Bridgeman,Bogeys or Worse,2.5,2.5,2.5,-107.0,-115.0,2.5,,2.5,False
Jacob Bridgeman,Fairways Hit,,7.5,7.5,-137.0,112.0,8.125,,8.125,False
Jacob Bridgeman,Greens In Regulation,,11.5,11.5,-106.0,-117.0,11.923076923076923,,11.923076923076923,False
Jacob Bridgeman,Pars,11.0,,11.0,,,11.0,,11.0,False
Jacob Bridgeman,R1 Leaderboard Position,,10.5,10.5,,174.0,10.5,,10.5,False
Jacob Bridgeman,Round Strokes,,68.5,68.5,-115.0,-107.0,68.03333333333333,,68.03333333333333,False
Jacob Bridgeman,Strokes,68.5,,68.5,,,68.06666666666666,,68.06666666666666,False
Jacob Bridgeman,Tourney Finishing Position,,10.5,10.5,,199.0,10.5,,10.5,False
Justin Rose,Birdies Or Better,4.0,4.5,4.25,104.0,-129.0,4.5,,4.5,False
Justin Rose,Bogeys or Worse,2.5,2.5,2.5,-107.0,-115.0,2.5,,2.5,False
Justin Rose,Fairways Hit,,8.5,8.5,132.0,-162.0,8.125,,8.125,False
Justin Rose,Greens In Regulation,,11.5,11.5,-159.0,128.0,11.923076923076923,,11.923076923076923,False
Justin Rose,Pars,11.0,,11.0,,,11.0,,11.0,False
Justin Rose,R1 Leaderboard Position,,10.5,10.5,,157.0,10.5,,10.5,False
Justin Rose,Round Strokes,,68.5,68.5,100.0,-122.0,68.03333333333333,,68.03333333333333,False
Justin Rose,Strokes,68.5,,68.5,,,68.06666666666666,,68.06666666666666,False
Justin Rose,Tourney Finishing Position,,10.5,10.5,,210.0,10.5,,10.5,False
Kristoffer Reitan,Birdies Or Better,4.5,4.5,4.5,113.0,-139.0,4.5,,4.5,False
Kristoffer Reitan,Bogeys or Worse,2.5,2.5,2.5,-129.0,104.0,2.5,,2.5,False
Kristoffer Reitan,Fairways Hit,,7.5,7.5,-132.0,107.0,8.125,,8.125,False
Kristoffer Reitan,Greens In Regulation,,11.5,11.5,-143.0,117.0,11.923076923076923,,11.923076923076923,False
Kristoffer Reitan,Pars,11.0,,11.0,,,11.0,,11.0,False
Kristoffer Reitan,R1 Leaderboard Position,,10.5,10.5,,186.0,10.5,,10.5,False
Kristoffer Reitan,Round Strokes,,68.5,68.5,-118.0,-105.0,68.03333333333333,,68.03333333333333,False
Kristoffer Reitan,Strokes,68.5,,68.5,,,68.06666666666666,,68.06666666666666,False
Kristoffer Reitan,Tourney Finishing Position,,20.5,20.5,,-157.0,10.5,,10.5,False
Ludvig Aberg,Birdies or Better Matchup,0.5,,0.5,,,0.5,,0.5,True
