player_name,stat_type,prizepicks_line,underdog_line,average_line,higher_price_ud,lower_price_ud,headshot,date,updated_at
Aaron Rai,Birdies or Better Matchup,0.5,,0.5,n/a,n/a,https://static.prizepicks.com/images/players/PGA/Aaron_Rai_GOLF_player_bkVpqVMDUL9zEYSHiuWH0rWG-450.webp,8/9/2026,2026-08-09T11:36:00.388150Z
Aaron Rai,Birdies Or Better,4.5,4.5,4.5,-103,-121,https://assets.underdogfantasy.com/player-images/pga/20260218_23-31f03fb8-f92c-4853-8805-c668430cecc2.png,8/9/2026,2026-08-09T11:36:00.388164Z
Aaron Rai,Fairways Hit,,10.5,10.5,-104,-120,https://assets.underdogfantasy.com/player-images/pga/20260218_23-31f03fb8-f92c-4853-8805-c668430cecc2.png,8/9/2026,2026-08-09T11:36:00.388170Z
Aaron Rai,Greens In Regulation,14,13.5,13.8,-167,+134,https://assets.underdogfantasy.com/player-images/pga/20260218_23-31f03fb8-f92c-4853-8805-c668430cecc2.png,8/9/2026,2026-08-09T11:36:00.388176Z
Aaron Rai,Round Strokes,,67.5,67.5,-139,+113,https://assets.underdogfantasy.com/player-images/pga/20260218_23-31f03fb8-f92c-4853-8805-c668430cecc2.png,8/9/2026,2026-08-09T11:36:00.388181Z
Aaron Rai,Strokes,68,,68,n/a,n/a,https://static.prizepicks.com/images/players/PGA/Aaron_Rai_GOLF_player_bkVpqVMDUL9zEYSHiuWH0rWG-450.webp,8/9/2026,2026-08-09T11:36:00.388186Z
Aaron Rai,Tourney Finishing Position,,20.5,20.5,N/A,+532,https://assets.underdogfantasy.com/player-images/pga/20260218_23-31f03fb8-f92c-4853-8805-c668430cecc2.png,8/9/2026,2026-08-09T11:36:00.388192Z
Alex Fitzpatrick,Birdies Or Better,4.5,4.5,4.5,-103,-120,https://assets.underdogfantasy.com/player-images/pga/20260515_15-6ab24c00-f3b4-4499-850c-34286fae316c.png,8/9/2026,2026-08-09T11:36:00.388202Z
Alex Fitzpatrick,Round Strokes,,67.5,67.5,-148,+120,https://assets.underdogfantasy.com/player-images/pga/20260515_15-6ab24c00-f3b4-4499-850c-34286fae316c.png,8/9/2026,2026-08-09T11:36:00.388208Z
Alex Fitzpatrick,Strokes,68,,68,n/a,n/a,https://static.prizepicks.com/images/manual/AFitz.png,8/9/2026,2026-08-09T11:36:00.388213Z
Alex Fitzpatrick,Tourney Finishing Position,,20.5,20.5,N/A,+2130,https://assets.underdogfantasy.com/player-images/pga/20260515_15-6ab24c00-f3b4-4499-850c-34286fae316c.png,8/9/2026,2026-08-09T11:36:00.388218Z
Alex Noren,Birdies Or Better,4.5,4.5,4.5,+101,-124,https://assets.underdogfantasy.com/player-images/pga/20260218_23-88bc83d5-45d0-4be3-9dd1-1af5282a718e.png,8/9/2026,2026-08-09T11:36:00.388223Z
Alex Noren,Bogeys or Worse,2.5,2.5,2.5,+102,-125,https://assets.underdogfantasy.com/player-images/pga/20260218_23-88bc83d5-45d0-4be3-9dd1-1af5282a718e.png,8/9/2026,2026-08-09T11:36:00.388227Z
Alex Noren,Fairways Hit,,9.5,9.5,-112,-112,https://assets.underdogfantasy.com/player-images/pga/20260218_23-88bc83d5-45d0-4be3-9dd1-1af5282a718e.png,8/9/2026,2026-08-09T11:36:00.388232Z
Alex Noren,Greens In Regulation,13.5,13.5,13.5,-129,+105,https://assets.underdogfantasy.com/player-images/pga/20260218_23-88bc83d5-45d0-4be3-9dd1-1af5282a718e.png,8/9/2026,2026-08-09T11:36:00.388236Z
Alex Noren,Pars,11,,11,n/a,n/a,https://static.prizepicks.com/images/players/PGA/Alex_Noren_GOLF_player_wxIqAN7qjyJzcEnuxtyjtWw2-450.webp,8/9/2026,2026-08-09T11:36:00.388241Z
Alex Noren,Round Strokes,,68.5,68.5,+110,-136,https://assets.underdogfantasy.com/player-images/pga/20260218_23-88bc83d5-45d0-4be3-9dd1-1af5282a718e.png,8/9/2026,2026-08-09T11:36:00.388245Z
Alex Noren,Strokes,68,,68,n/a,n/a,https://static.prizepicks.com/images/players/PGA/Alex_Noren_GOLF_player_wxIqAN7qjyJzcEnuxtyjtWw2-450.webp,8/9/2026,2026-08-09T11:36:00.388249Z
Alex Noren,Tourney Finishing Position,,5.5,5.5,N/A,-176,https://assets.underdogfantasy.com/player-images/pga/20260218_23-88bc83d5-45d0-4be3-9dd1-1af5282a718e.png,8/9/2026,2026-08-09T11:36:00.388254Z
Alex Smalley,Birdies Or Better,4.5,4.5,4.5,-104,-120,https://assets.underdogfantasy.com/player-images/pga/20260224_22-fa3c656a-7f3e-4931-ab19-5e07cc52c4f9.png,8/9/2026,2026-08-09T11:36:00.388259Z
Alex Smalley,Bogeys or Worse,2.5,2.5,2.5,+102,-125,https://assets.underdogfantasy.com/player-images/pga/20260224_22-fa3c656a-7f3e-4931-ab19-5e07cc52c4f9.png,8/9/2026,2026-08-09T11:36:00.388263Z
Alex Smalley,Fairways Hit,,9.5,9.5,+109,-134,https://assets.underdogfantasy.com/player-images/pga/20260224_22-fa3c656a-7f3e-4931-ab19-5e07cc52c4f9.png,8/9/2026,2026-08-09T11:36:00.388267Z
Alex Smalley,Greens In Regulation,13.5,13.5,13.5,-129,+105,https://assets.underdogfantasy.com/player-images/pga/20260224_22-fa3c656a-7f3e-4931-ab19-5e07cc52c4f9.png,8/9/2026,2026-08-09T11:36:00.388272Z
Alex Smalley,Pars,11,,11,n/a,n/a,https://static.prizepicks.com/images/players/PGA/Alex_Smalley_GOLF_player_EpPiKMtQ6IOBZ5YTBn5v6B6U-450.webp,8/9/2026,2026-08-09T11:36:00.388276Z
Alex Smalley,Round Strokes,,68.5,68.5,+112,-137,https://assets.underdogfantasy.com/player-images/pga/20260224_22-fa3c656a-7f3e-4931-ab19-5e07cc52c4f9.png,8/9/2026,2026-08-09T11:36:00.388281Z
Alex Smalley,Strokes,68,,68,n/a,n/a,https://static.prizepicks.com/images/players/PGA/Alex_Smalley_GOLF_player_EpPiKMtQ6IOBZ5YTBn5v6B6U-450.webp,8/9/2026,2026-08-09T11:36:00.388286Z
Alex Smalley,Tourney Finishing Position,,5.5,5.5,N/A,-179,https://assets.underdogfantasy.com/player-images/pga/20260224_22-fa3c656a-7f3e-4931-ab19-5e07cc52c4f9.png,8/9/2026,2026-08-09T11:36:00.388290Z
Andrew Novak,Tourney Finishing Position,,20.5,20.5,N/A,+242,https://assets.underdogfantasy.com/player-images/pga/20260218_23-f0628f83-84ab-48cc-a2c4-f011d2c09a18.png,8/9/2026,2026-08-09T11:36:00.388295Z
Andrew Putnam,Tourney Finishing Position,,20.5,20.5,N/A,+844,https://assets.underdogfantasy.com/player-images/pga/20260224_23-bf8aa94c-d1a9-4de4-a05f-322092033fb0.png,8/9/2026,2026-08-09T11:36:00.388300Z
