player_name,course_name,event_name,birdies_plus,strokes,bogeys,pars,fw_pct,gir_pct,n_rounds,n_starts,window,trait_sig,by_designer,by_style,by_greens,birdies_plus_rank,strokes_rank,course_hist_birdies,course_hist_strokes,course_hist_bogeys,course_hist_pars,course_hist_fw,course_hist_gir,course_hit_rate
"Scheffler, Scottie",East Lake Golf Club,TOUR Championship,,,,,,,0,0,24,DESIGNER:DONALD ROSS | STYLE:PARKLAND | GREENS:BERMUDA | GREENS (2):POA | FAIRWAYS:BERMUDA | LENGTH:LONG | PAR:72.0 | SCORING:NORMAL | WEATHER:FAIR | TYPE:FULL | FAIRWAY WIDTH:SMALL | GREEN WIDTH:SMALL | GREEN SPEEDS:13.0 | GREEN SPEEDS.1:NORMAL | ROUGH LENGTH:THICK | WATER HAZARDS:1.0 | ROUGH AMOUNT:NORMAL | BUNKERS:87.0 | LOCATION:CALIFORNIA | Redesigned:KRIS SPENCER | DRAINAGE:GOOD | RAIN:NO,,,,,,,,,,,,
"Schauffele, Xander",East Lake Golf Club,TOUR Championship,,,,,,,0,0,24,DESIGNER:DONALD ROSS | STYLE:PARKLAND | GREENS:BERMUDA | GREENS (2):POA | FAIRWAYS:BERMUDA | LENGTH:LONG | PAR:72.0 | SCORING:NORMAL | WEATHER:FAIR | TYPE:FULL | FAIRWAY WIDTH:SMALL | GREEN WIDTH:SMALL | GREEN SPEEDS:13.0 | GREEN SPEEDS.1:NORMAL | ROUGH LENGTH:THICK | WATER HAZARDS:1.0 | ROUGH AMOUNT:NORMAL | BUNKERS:87.0 | LOCATION:CALIFORNIA | Redesigned:KRIS SPENCER | DRAINAGE:GOOD | RAIN:NO,,,,,,,,,,,,
"McIlroy, Rory",East Lake Golf Club,TOUR Championship,,,,,,,0,0,24,DESIGNER:DONALD ROSS | STYLE:PARKLAND | GREENS:BERMUDA | GREENS (2):POA | FAIRWAYS:BERMUDA | LENGTH:LONG | PAR:72.0 | SCORING:NORMAL | WEATHER:FAIR | TYPE:FULL | FAIRWAY WIDTH:SMALL | GREEN WIDTH:SMALL | GREEN SPEEDS:13.0 | GREEN SPEEDS.1:NORMAL | ROUGH LENGTH:THICK | WATER HAZARDS:1.0 | ROUGH AMOUNT:NORMAL | BUNKERS:87.0 | LOCATION:CALIFORNIA | Redesigned:KRIS SPENCER | DRAINAGE:GOOD | RAIN:NO,,,,,,,,,,,,
"Fleetwood, Tommy",East Lake Golf Club,TOUR Championship,,,,,,,0,0,24,DESIGNER:DONALD ROSS | STYLE:PARKLAND | GREENS:BERMUDA | GREENS (2):POA | FAIRWAYS:BERMUDA | LENGTH:LONG | PAR:72.0 | SCORING:NORMAL | WEATHER:FAIR | TYPE:FULL | FAIRWAY WIDTH:SMALL | GREEN WIDTH:SMALL | GREEN SPEEDS:13.0 | GREEN SPEEDS.1:NORMAL | ROUGH LENGTH:THICK | WATER HAZARDS:1.0 | ROUGH AMOUNT:NORMAL | BUNKERS:87.0 | LOCATION:CALIFORNIA | Redesigned:KRIS SPENCER | DRAINAGE:GOOD | RAIN:NO,,,,,,,,,,,,
"Cantlay, Patrick",East Lake Golf Club,TOUR Championship,,,,,,,0,0,24,DESIGNER:DONALD ROSS | STYLE:PARKLAND | GREENS:BERMUDA | GREENS (2):POA | FAIRWAYS:BERMUDA | LENGTH:LONG | PAR:72.0 | SCORING:NORMAL | WEATHER:FAIR | TYPE:FULL | FAIRWAY WIDTH:SMALL | GREEN WIDTH:SMALL | GREEN SPEEDS:13.0 | GREEN SPEEDS.1:NORMAL | ROUGH LENGTH:THICK | WATER HAZARDS:1.0 | ROUGH AMOUNT:NORMAL | BUNKERS:87.0 | LOCATION:CALIFORNIA | Redesigned:KRIS SPENCER | DRAINAGE:GOOD | RAIN:NO,,,,,,,,,,,,
"Burns, Sam",East Lake Golf Club,TOUR Championship,,,,,,,0,0,24,DESIGNER:DONALD ROSS | STYLE:PARKLAND | GREENS:BERMUDA | GREENS (2):POA | FAIRWAYS:BERMUDA | LENGTH:LONG | PAR:72.0 | SCORING:NORMAL | WEATHER:FAIR | TYPE:FULL | FAIRWAY WIDTH:SMALL | GREEN WIDTH:SMALL | GREEN SPEEDS:13.0 | GREEN SPEEDS.1:NORMAL | ROUGH LENGTH:THICK | WATER HAZARDS:1.0 | ROUGH AMOUNT:NORMAL | BUNKERS:87.0 | LOCATION:CALIFORNIA | Redesigned:KRIS SPENCER | DRAINAGE:GOOD | RAIN:NO,,,,,,,,,,,,
"Hovland, Viktor",East Lake Golf Club,TOUR Championship,,,,,,,0,0,24,DESIGNER:DONALD ROSS | STYLE:PARKLAND | GREENS:BERMUDA | GREENS (2):POA | FAIRWAYS:BERMUDA | LENGTH:LONG | PAR:72.0 | SCORING:NORMAL | WEATHER:FAIR | TYPE:FULL | FAIRWAY WIDTH:SMALL | GREEN WIDTH:SMALL | GREEN SPEEDS:13.0 | GREEN SPEEDS.1:NORMAL | ROUGH LENGTH:THICK | WATER HAZARDS:1.0 | ROUGH AMOUNT:NORMAL | BUNKERS:87.0 | LOCATION:CALIFORNIA | Redesigned:KRIS SPENCER | DRAINAGE:GOOD | RAIN:NO,,,,,,,,,,,,
"Young, Cameron",East Lake Golf Club,TOUR Championship,,,,,,,0,0,24,DESIGNER:DONALD ROSS | STYLE:PARKLAND | GREENS:BERMUDA | GREENS (2):POA | FAIRWAYS:BERMUDA | LENGTH:LONG | PAR:72.0 | SCORING:NORMAL | WEATHER:FAIR | TYPE:FULL | FAIRWAY WIDTH:SMALL | GREEN WIDTH:SMALL | GREEN SPEEDS:13.0 | GREEN SPEEDS.1:NORMAL | ROUGH LENGTH:THICK | WATER HAZARDS:1.0 | ROUGH AMOUNT:NORMAL | BUNKERS:87.0 | LOCATION:CALIFORNIA | Redesigned:KRIS SPENCER | DRAINAGE:GOOD | RAIN:NO,,,,,,,,,,,,
"Gotterup, Chris",East Lake Golf Club,TOUR Championship,,,,,,,0,0,24,DESIGNER:DONALD ROSS | STYLE:PARKLAND | GREENS:BERMUDA | GREENS (2):POA | FAIRWAYS:BERMUDA | LENGTH:LONG | PAR:72.0 | SCORING:NORMAL | WEATHER:FAIR | TYPE:FULL | FAIRWAY WIDTH:SMALL | GREEN WIDTH:SMALL | GREEN SPEEDS:13.0 | GREEN SPEEDS.1:NORMAL | ROUGH LENGTH:THICK | WATER HAZARDS:1.0 | ROUGH AMOUNT:NORMAL | BUNKERS:87.0 | LOCATION:CALIFORNIA | Redesigned:KRIS SPENCER | DRAINAGE:GOOD | RAIN:NO,,,,,,,,,,,,
"Aberg, Ludvig",East Lake Golf Club,TOUR Championship,,,,,,,0,0,24,DESIGNER:DONALD ROSS | STYLE:PARKLAND | GREENS:BERMUDA | GREENS (2):POA | FAIRWAYS:BERMUDA | LENGTH:LONG | PAR:72.0 | SCORING:NORMAL | WEATHER:FAIR | TYPE:FULL | FAIRWAY WIDTH:SMALL | GREEN WIDTH:SMALL | GREEN SPEEDS:13.0 | GREEN SPEEDS.1:NORMAL | ROUGH LENGTH:THICK | WATER HAZARDS:1.0 | ROUGH AMOUNT:NORMAL | BUNKERS:87.0 | LOCATION:CALIFORNIA | Redesigned:KRIS SPENCER | DRAINAGE:GOOD | RAIN:NO,,,,,,,,,,,,
