key,label,value,count,green,course_name,event_name
designer,DESIGNER,TOM FAZIO,912,False,East Lake Golf Club,TOUR Championship
style,STYLE,PARKLAND,4486,False,East Lake Golf Club,TOUR Championship
greens,GREENS,BENT,2496,True,East Lake Golf Club,TOUR Championship
greens_2,GREENS (2),POA,1360,True,East Lake Golf Club,TOUR Championship
fairways,FAIRWAYS,BERMUDA,2396,False,East Lake Golf Club,TOUR Championship
length,LENGTH,LONG,3388,False,East Lake Golf Club,TOUR Championship
par,PAR,72.0,2890,False,East Lake Golf Club,TOUR Championship
scoring,SCORING,HARD,3612,False,East Lake Golf Club,TOUR Championship
weather,WEATHER,FAIR,2160,False,East Lake Golf Club,TOUR Championship
type,TYPE,FULL,5068,False,East Lake Golf Club,TOUR Championship
fairway_width,FAIRWAY WIDTH,SMALL,3472,False,East Lake Golf Club,TOUR Championship
green_width,GREEN WIDTH,SMALL,6267,True,East Lake Golf Club,TOUR Championship
green_speeds,GREEN SPEEDS,13.0,981,True,East Lake Golf Club,TOUR Championship
green_speeds_1,GREEN SPEEDS.1,FAST,1578,True,East Lake Golf Club,TOUR Championship
rough_length,ROUGH LENGTH,THICK,2973,False,East Lake Golf Club,TOUR Championship
water_hazards,WATER HAZARDS,1.0,1168,False,East Lake Golf Club,TOUR Championship
rough_amount,ROUGH AMOUNT,NORMAL,2836,False,East Lake Golf Club,TOUR Championship
bunkers,BUNKERS,74.0,691,False,East Lake Golf Club,TOUR Championship
location,LOCATION,CALIFORNIA,1219,False,East Lake Golf Club,TOUR Championship
redesigned,Redesigned,REES JONES,404,False,East Lake Golf Club,TOUR Championship
drainage,DRAINAGE,GOOD,3271,False,East Lake Golf Club,TOUR Championship
rain,RAIN,NO,6146,False,East Lake Golf Club,TOUR Championship
