player_name,name_adjusted,salary,event_name,date_start,course_name,tour,cut_streak,rf1,rf2,rf3,rf4,rf5,rf6,rf7,rflst5,rflst10,value,value_avg,rf_sg_starts,missed_cuts_7,cut_pct,starts_count,updated_at,value_rank,rflst5_rank,rflst10_rank
"Kohles, Ben","Kohles, Ben",,Wyndham Championship,2026-08-06,Sedgefield Country Club,pga,8,T26 (+1.45),9 (+2.51),T15 (+1.49),T3 (+2.73),T19 (+1.56),T23 (+1.39),T29 (+1.25),14.4,26.9,12.37,1.77,7,0,65.5,220,2026-08-08T16:28:34.669280Z,1,1,3
"Gerard, Ryan","Gerard, Ryan",,Wyndham Championship,2026-08-06,Sedgefield Country Club,pga,4,T8 (+2.20),T9 (+1.91),T26 (+1.22),T44 (-0.23),CUT (+0.26),2 (+3.61),T10 (+2.25),31.8,33.6,11.23,1.6,7,1,72.3,112,2026-08-08T16:28:11.842708Z,2,12,13
"Brown, Blades","Brown, Blades",,Wyndham Championship,2026-08-06,Sedgefield Country Club,pga,10,T11 (+2.00),T12 (+1.98),T55 (-0.19),T17 (+1.67),T13 (+1.94),T14 (+2.05),T16 (+1.47),21.6,17.5,10.91,1.56,7,0,69.8,43,2026-08-08T16:27:57.657688Z,3,5,1
"Kim, Tom","Kim, Tom",,Wyndham Championship,2026-08-06,Sedgefield Country Club,pga,1,T20 (+1.51),CUT (-0.61),1 (+3.97),T46 (+0.48),3 (+2.89),T15 (+1.75),T54 (+0.00),28.4,34.3,9.98,1.43,7,1,77.3,97,2026-08-08T16:28:31.089847Z,4,8,15
"Blair, Zac","Blair, Zac",,Wyndham Championship,2026-08-06,Sedgefield Country Club,pga,7,T50 (+0.20),T13 (+2.01),T8 (+1.99),T9 (+2.23),T27 (+1.31),T32 (+1.14),T40 (+0.67),21.4,32.2,9.54,1.36,7,0,58.9,180,2026-08-08T16:27:55.875305Z,5,3,9
"Grillo, Emiliano","Grillo, Emiliano",,Wyndham Championship,2026-08-06,Sedgefield Country Club,pga,7,T31 (+1.20),T7 (+2.76),T26 (+1.23),T23 (+1.39),T20 (+1.50),T42 (+0.25),T38 (+0.80),21.4,40.3,9.12,1.3,7,0,71.7,247,2026-08-08T16:28:16.583040Z,6,3,28
"Thomas, Justin","Thomas, Justin",,Wyndham Championship,2026-08-06,Sedgefield Country Club,pga,13,T65 (-0.09),T50 (+0.22),T14 (+1.02),T17 (+1.89),T19 (+1.11),T13 (+2.00),T4 (+2.62),33.0,29.5,8.77,1.25,7,0,85.4,205,2026-08-08T16:29:20.809316Z,7,16,7
"Matsuyama, Hideki","Matsuyama, Hideki",,Wyndham Championship,2026-08-06,Sedgefield Country Club,pga,22,T5 (+2.45),T3 (+3.01),T14 (+1.66),T14 (+1.02),T65 (-0.86),T43 (-1.14),T13 (+2.00),20.2,30.7,8.14,1.16,7,0,86.8,219,2026-08-08T16:28:42.313882Z,8,2,8
"Ghim, Doug","Ghim, Doug",,Wyndham Championship,2026-08-06,Sedgefield Country Club,pga,1,T15 (+1.95),CUT (-0.51),CUT (-0.21),T6 (+2.48),T15 (+1.75),T28 (+1.00),T31 (+1.05),36.0,29.4,7.5,1.07,7,2,59.5,185,2026-08-08T16:28:12.584633Z,9,23,6
"Wallace, Matt","Wallace, Matt",,Wyndham Championship,2026-08-06,Sedgefield Country Club,pga,2,T5 (+2.45),T40 (+0.91),CUT (-1.21),T33 (+0.98),2 (+3.35),CUT (-0.22),T44 (+0.87),30.4,35.8,7.13,1.02,7,2,68.1,257,2026-08-08T16:29:25.320284Z,10,10,21
"Young, Cameron","Young, Cameron",,Wyndham Championship,2026-08-06,Sedgefield Country Club,pga,16,T8 (+2.20),2 (+2.91),T47 (-0.48),T43 (+0.64),T46 (-1.39),T26 (+1.37),T10 (+1.62),29.2,21.1,6.87,0.98,7,0,76.6,145,2026-08-08T16:29:27.762295Z,11,9,2
"Rai, Aaron","Rai, Aaron",,Wyndham Championship,2026-08-06,Sedgefield Country Club,pga,0,CUT (-0.11),CUT (-0.71),T30 (+0.27),T11 (+2.14),CUT (-0.22),T19 (+1.11),1 (+3.62),51.4,35.4,6.1,0.87,7,3,71.9,221,2026-08-08T16:29:00.215996Z,12,70,18
