player_name,course_name,starts,rounds,sg_total_avg,avg_finish,best,cut_pct,last3,spec_rank
"Scheffler, Scottie",East Lake Golf Club,37,338,1.914,14.72,1,13.5,4|CUT|4,2
"Schauffele, Xander",East Lake Golf Club,38,407,1.474,15.91,1,10.5,2|18|CUT,3
"McIlroy, Rory",East Lake Golf Club,37,419,1.985,14.88,1,5.6,40|7|32,1
"Fleetwood, Tommy",East Lake Golf Club,45,472,1.307,23.88,2,6.7,4|13|11,6
"Cantlay, Patrick",East Lake Golf Club,29,339,1.41,15.5,1,17.2,8|28|CUT,4
"Hovland, Viktor",East Lake Golf Club,40,370,1.23,18.34,1,12.5,CUT|13|CUT,8
"Matsuyama, Hideki",East Lake Golf Club,40,435,0.867,26.88,1,10.5,7|5|14,13
"Fitzpatrick, Matt",East Lake Golf Club,27,228,0.948,22.18,1,15.4,CUT|3|22,10
"Kim, Tom",East Lake Golf Club,29,196,0.634,25.65,1,20.7,5|CUT|1,21
"Burns, Sam",East Lake Golf Club,43,363,0.936,15.88,1,20.0,3|2|4,11
"Henley, Russell",East Lake Golf Club,41,369,1.035,22.85,1,19.5,20|9|65,9
"Aberg, Ludvig",East Lake Golf Club,29,203,1.326,17.54,1,7.1,9|CUT|17,5
"Rose, Justin",East Lake Golf Club,42,374,0.791,23.03,1,19.0,CUT|11|12,14
"Scott, Adam",East Lake Golf Club,42,360,0.784,25.84,3,9.8,9|66|CUT,15
"Young, Cameron",East Lake Golf Club,36,276,0.728,25.71,1,22.2,61|8|2,16
"MacIntyre, Robert",East Lake Golf Club,49,320,0.688,24.22,1,22.9,28|3|39,18
"Gotterup, Chris",East Lake Golf Club,52,248,0.894,26.05,1,21.6,CUT|18|11,12
"Morikawa, Collin",East Lake Golf Club,41,382,1.273,15.92,1,10.0,18|17|55,7
"Clark, Wyndham",East Lake Golf Club,52,382,0.487,21.25,1,38.5,CUT|CUT|13,24
"Bridgeman, Jacob",East Lake Golf Club,56,256,0.652,27.5,1,16.4,26|28|39,20
"Spaun, J.J.",East Lake Golf Club,49,388,0.3,34.31,3,20.4,50|40|44,30
"Bhatia, Akshay",East Lake Golf Club,48,267,0.46,23.48,1,35.4,CUT|CUT|17,26
"Kim, Si Woo",East Lake Golf Club,44,456,0.395,30.69,2,9.3,42|6|9,28
"Fox, Ryan",East Lake Golf Club,55,357,0.697,27.8,1,18.2,1|30|23,17
"Fitzpatrick, Alex",East Lake Golf Club,35,152,0.462,31.84,2,26.5,61|71|CUT,25
"Woodland, Gary",East Lake Golf Club,44,346,0.351,30.68,1,29.5,CUT|7|36,29
"Gerard, Ryan",East Lake Golf Club,61,274,0.678,28.64,1,30.0,CUT|8|9,19
"Reitan, Kristoffer",East Lake Golf Club,33,107,0.526,18.06,1,48.5,18|CUT|CUT,22
"Lee, Min Woo",East Lake Golf Club,25,184,0.433,20.95,2,20.0,59|2|CUT,27
"Smalley, Alex",East Lake Golf Club,40,270,0.526,23.39,2,22.5,7|53|CUT,23
