player_name,course_name,starts,rounds,sg_total_avg,avg_finish,best,cut_pct,last3,spec_rank
"Ghim, Doug",SEDGEFIELD,1,20,0.366,51.0,51.0,0.0,51,54.0
"Svensson, Jesper",SEDGEFIELD,1,2,-2.061,,,100.0,CUT,106.0
"Hodges, Lee",SEDGEFIELD,1,10,-0.16,47.0,47.0,0.0,47,74.0
"Kohles, Ben",SEDGEFIELD,1,8,0.261,54.0,54.0,0.0,54,60.0
"Glover, Lucas",SEDGEFIELD,1,24,0.525,1.0,1.0,0.0,1,45.0
"Meissner, Mac",SEDGEFIELD,1,8,2.511,12.0,12.0,0.0,12,4.0
"Suber, Jackson",SEDGEFIELD,1,2,-2.561,,,100.0,CUT,108.0
"Wallace, Matt",SEDGEFIELD,1,16,0.627,45.0,45.0,0.0,45,36.0
"Fitzpatrick, Alex",SEDGEFIELD,0,0,,,,,,
"Bezuidenhout, Christiaan",SEDGEFIELD,1,20,0.483,51.0,51.0,0.0,51,48.0
"Yu, Kevin",SEDGEFIELD,1,6,-2.016,,,100.0,CUT,105.0
"Brown, Blades",SEDGEFIELD,0,0,,,,,,
"Hisatsune, Ryo",SEDGEFIELD,1,6,0.297,3.0,3.0,0.0,3,58.0
"Grillo, Emiliano",SEDGEFIELD,1,10,-0.342,,,100.0,CUT,80.0
"Bradley, Keegan",SEDGEFIELD,1,10,0.613,42.0,42.0,0.0,42,37.0
"Cantlay, Patrick",SEDGEFIELD,0,0,,,,,,
"Akina, Kihei",SEDGEFIELD,0,0,,,,,,
"Van Rooyen, Erik",SEDGEFIELD,1,9,-0.694,,,100.0,CUT,86.0
"Griffin, Ben",SEDGEFIELD,1,14,1.692,,,100.0,CUT,14.0
"Hoge, Tom",SEDGEFIELD,1,15,0.243,,,100.0,CUT,62.0
"Thomas, Justin",SEDGEFIELD,1,4,2.14,12.0,12.0,0.0,12,7.0
"Phillips, Chandler",SEDGEFIELD,1,8,0.761,38.0,38.0,0.0,38,31.0
"Mazzoli, Stefano",SEDGEFIELD,0,0,,,,,,
"Rai, Aaron",SEDGEFIELD,1,14,1.62,,,100.0,CUT,15.0
"Lipsky, David",SEDGEFIELD,1,14,0.354,45.0,45.0,0.0,45,56.0
"Garnett, Brice",SEDGEFIELD,1,24,0.408,,,100.0,CUT,51.0
"Parry, John",SEDGEFIELD,0,0,,,,,,
"Brennan, Michael",SEDGEFIELD,0,0,,,,,,
