TOUR Championship – Hourly Weather Forecast,,,,,,,,,,,
"Location: East Lake Golf Club | Updated: 9/15/2026, 1:55:18 AM",,,,,,,,,,,
,,,,,,,,,,,
Date,Time,Temp (°F),Feels Like (°F),Precip %,Precip (in),Conditions,Wind (mph),Gusts (mph),Wind Dir,Cloud Cover %,Humidity %
Tue Sep 15,12:00 AM,77.3,82.8,0,0,Clear,2.5,3.4,NW,0,71
Tue Sep 15,1:00 AM,75.3,80.7,0,0,Clear,3.5,6.9,ENE,0,78
Tue Sep 15,2:00 AM,75.3,79.1,0,0,Clear,5,11.4,E,0,73
Tue Sep 15,3:00 AM,74.2,79.6,0,0,Clear,4.5,12.3,E,0,83
Tue Sep 15,4:00 AM,73.7,78,0,0,Clear,5.8,13.2,ENE,0,81
Tue Sep 15,5:00 AM,72.7,77.4,0,0,Clear,4.9,11.6,ENE,0,84
Tue Sep 15,6:00 AM,72.1,76.1,0,0,Clear,5.9,12.5,NE,0,84
Tue Sep 15,7:00 AM,71.7,75.3,0,0,Clear,6.9,14.1,ENE,0,86
Tue Sep 15,8:00 AM,72,75.3,0,0,Clear,8.5,18.3,ENE,0,87
Tue Sep 15,9:00 AM,74.5,77.1,0,0,Clear,10.2,20.6,ENE,0,80
Tue Sep 15,10:00 AM,77.4,81.4,0,0,Clear,9,15.2,ENE,0,77
Tue Sep 15,11:00 AM,80.9,85.4,0,0,Clear,9.4,13,ENE,3,70
Tue Sep 15,12:00 PM,84.2,89.9,0,0,Overcast,9.7,12.8,ENE,88,63
Tue Sep 15,1:00 PM,87.2,94.4,0,0,Partly Cloudy,9.1,11.6,ENE,53,58
Tue Sep 15,2:00 PM,88.9,94.6,0,0,Mainly Clear,8,9.8,E,23,53
Tue Sep 15,3:00 PM,90.5,97.2,0,0,Mainly Clear,8.1,10.3,ENE,26,50
Tue Sep 15,4:00 PM,90.9,95.3,0,0,Clear,8.1,10.5,ENE,19,47
Tue Sep 15,5:00 PM,91.3,94.3,0,0,Clear,8,10.1,ENE,12,44
Tue Sep 15,6:00 PM,90.7,92.3,3,0,Clear,8.7,11.4,ENE,7,42
Tue Sep 15,7:00 PM,88.1,90.8,5,0,Overcast,9.2,14.8,NE,91,50
Tue Sep 15,8:00 PM,85,88.1,2,0,Clear,6.1,16.1,ENE,0,52
Tue Sep 15,9:00 PM,83.2,86.1,0,0,Clear,6.9,16.6,ENE,0,56
Tue Sep 15,10:00 PM,81.9,85.4,0,0,Clear,7.2,16.6,ENE,5,61
Tue Sep 15,11:00 PM,80.7,84,0,0,Clear,7.6,16.8,E,1,63
Wed Sep 16,12:00 AM,79.7,83.2,0,0,Clear,7.2,16.6,E,0,66
Wed Sep 16,1:00 AM,78.7,82.4,3,0,Clear,7.2,15.4,E,5,69
Wed Sep 16,2:00 AM,77.7,81.9,1,0,Clear,6.8,17,SE,12,73
Wed Sep 16,3:00 AM,77.5,82.4,0,0,Overcast,7.3,17.7,SE,81,78
Wed Sep 16,4:00 AM,76.7,82,0,0,Overcast,6.9,15.9,SSE,89,81
Wed Sep 16,5:00 AM,74.9,80.3,1,0,Partly Cloudy,5.8,14.1,SSE,63,84
Wed Sep 16,6:00 AM,75.3,81.5,1,0,Overcast,4.5,10.5,SSE,93,84
Wed Sep 16,7:00 AM,73.7,80.4,1,0,Mainly Clear,3,6.7,ESE,43,88
Wed Sep 16,8:00 AM,74.1,80.4,0,0,Clear,2.2,6,E,17,83
Wed Sep 16,9:00 AM,75.8,81.2,0,0,Overcast,3.2,4.3,E,83,76
Wed Sep 16,10:00 AM,78.1,83.5,0,0,Mainly Clear,3.6,4.7,E,44,71
Wed Sep 16,11:00 AM,81.2,86.4,0,0,Partly Cloudy,2.2,4.7,E,73,61
Wed Sep 16,12:00 PM,84.4,91.5,0,0,Mainly Clear,2.7,12.5,E,23,56
Wed Sep 16,1:00 PM,86.9,94.6,0,0,Clear,4.1,13.6,NE,18,53
Wed Sep 16,2:00 PM,87.9,92.9,0,0,Mainly Clear,6.2,12.1,NE,24,51
Wed Sep 16,3:00 PM,89.5,95,0,0,Clear,6.5,13.9,NE,19,48
Wed Sep 16,4:00 PM,90.5,95,0,0,Clear,7.7,13.9,ENE,17,46
Wed Sep 16,5:00 PM,90.6,92.7,0,0,Clear,9,14.8,ENE,3,44
Wed Sep 16,6:00 PM,90.5,91.3,0,0,Clear,8.3,14.5,E,1,40
Wed Sep 16,7:00 PM,88.6,88.8,0,0,Clear,7.8,12.1,ESE,0,39
Wed Sep 16,8:00 PM,84.7,85.7,0,0,Clear,6.1,13.9,ESE,0,44
Wed Sep 16,9:00 PM,82.8,84.2,0,0,Clear,5.6,15.7,ESE,0,48
Wed Sep 16,10:00 PM,81.1,82.6,0,0,Clear,5.3,14.5,ESE,0,50
Wed Sep 16,11:00 PM,79.9,81.7,0,0,Clear,4.9,11.9,ESE,0,53
