Player's Name,Height,Weight,Birthplace City,Birthplace State,College,College City,College State,Plays From,Plays From State,Birth Date,Exempt Status,Combined States,Birthplace City and State,College City and State,Plays From City and State,Headshot Link,,
Scottie Scheffler,"6'3""",200,Dallas,Texas,University of Texas,Austin,Texas,"Dallas, TX",Texas,6/21/1996,Top 125 FedExCup 2024,Texas-Texas-Texas,"Dallas, Texas","Austin, Texas","Dallas, Texas","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_46046.png",,
Xander Schauffele,"5'10""",175,San Diego,California,San Diego State University,San Diego,California,"Scottsdale, AZ",Arizona,10/25/1993,Top 125 FedExCup 2024,California-California-Arizona,"San Diego, California","San Diego, California","Scottsdale, Arizona","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_48081.png",,
Rory McIlroy,"5'10""",160,Holywood,Northern Ireland,None,None,None,"Jupiter, FL",Florida,5/4/1989,Top 125 FedExCup 2024,Northern Ireland-None-Florida,"Holywood, Northern Ireland",N/A,"Jupiter, Florida","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_28237.png",,
Ludvig Aberg,"6'0""",190,Eslöv,Sweden,Texas Tech University,Lubbock,Texas,"Eslöv, Sweden",Sweden,10/31/1999,Top 50 OWGR 2025,Sweden-Texas-Sweden,"Eslöv, Sweden","Lubbock, Texas","Eslöv, Sweden","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_52955.png",,
Collin Morikawa,"5'9""",160,Los Angeles,California,"University of California, Berkeley",Berkeley,California,"La Cañada Flintridge, CA",California,2/6/1997,Top 125 FedExCup 2024,California-California-California,"Los Angeles, California","Berkeley, California","La Cañada Flintridge, California","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_50525.png",,
Hideki Matsuyama,"5'11""",198,Ehime,Japan,Tohoku Fukushi University,Sendai,Japan,"Tokyo, Japan",Japan,2/25/1992,Top 50 OWGR 2025,Japan-Japan-Japan,"Ehime, Japan","Sendai, Japan","Tokyo, Japan","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_32839.png",,
Wyndham Clark,"6'0""",175,Denver,Colorado,University of Oregon,Eugene,Oregon,"Scottsdale, AZ",Arizona,12/9/1993,Top 125 FedExCup 2024,Colorado-Oregon-Arizona,"Denver, Colorado","Eugene, Oregon","Scottsdale, Arizona","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_51766.png",,
Tyrrell Hatton,"5'9""",161,High Wycombe,England,None,None,None,"Marlow, England",England,10/14/1991,Top 50 OWGR 2025,England-None-England,"High Wycombe, England",N/A,"Marlow, England","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_34363.png",,
Justin Thomas,"5'10""",160,Louisville,Kentucky,University of Alabama,Tuscaloosa,Alabama,"Jupiter, FL",Florida,4/29/1993,Top 125 FedExCup 2024,Kentucky-Alabama-Florida,"Louisville, Kentucky","Tuscaloosa, Alabama","Jupiter, Florida","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_33448.png",,
Tommy Fleetwood,"5'11""",175,Southport,England,None,None,None,"Dubai, UAE",N/A,1/19/1991,Top 125 FedExCup 2024,England-None-N/A,"Southport, England",N/A,"Dubai, UAE","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_30911.png",,
Bryson DeChambeau,"6'1""",235,Modesto,California,Southern Methodist University,Dallas,Texas,"Dallas, TX",Texas,9/16/1993,Top 50 OWGR 2025,California-Texas-Texas,"Modesto, California","Dallas, Texas","Dallas, Texas","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_47959.png",,
Patrick Cantlay,"5'10""",190,Long Beach,California,UCLA,Los Angeles,California,"Jupiter, FL",Florida,3/17/1992,Top 125 FedExCup 2024,California-California-Florida,"Long Beach, California","Los Angeles, California","Jupiter, Florida","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_35450.png",,
Maverick McNealy,"6'1""",170,Stanford,California,Stanford University,Palo Alto,California,"Las Vegas, NV",Nevada,11/7/1995,Top 125 FedExCup 2024,California-California-Nevada,"Stanford, California","Palo Alto, California","Las Vegas, Nevada","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_46442.png",,
Viktor Hovland,"5'10""",165,Oslo,Norway,Oklahoma State University,Stillwater,Oklahoma,"Oslo, Norway",Norway,9/18/1997,Top 125 FedExCup 2024,Norway-Oklahoma-Norway,"Oslo, Norway","Stillwater, Oklahoma","Oslo, Norway","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_46717.png",,
Keegan Bradley,"6'3""",190,Woodstock,Vermont,St. John's University,Queens,New York,"Jupiter, FL",Florida,6/7/1986,Top 50 OWGR 2025,Vermont-New York-Florida,"Woodstock, Vermont","Queens, New York","Jupiter, Florida","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_33141.png",,
