PLAYER,LOCATION,Latitude,Longitude,DISTANCE (miles),COMBINE,Local Ties,TOURNAMENT LOCATION,Latitude Tournament,Longitude Tournament,TYPE
Scottie Scheffler,"Dallas, Texas",32.7767° N,96.7970° W,499.9730235,Scottie SchefflerNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
Xander Schauffele,"San Diego, California",32.7157° N,117.1611° W,982.6493117,Xander SchauffeleNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
Rory McIlroy,"Holywood, Northern Ireland",54.6386° N,5.8398° W,1723.708549,Rory McIlroyNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
Ludvig Aberg,"Eslöv, Sweden",55.8393° N,13.3039° E,2045.688177,Ludvig AbergNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
Collin Morikawa,"Los Angeles, California",34.0522° N,118.2437° W,987.9094537,Collin MorikawaNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
Hideki Matsuyama,"Sendai, Japan",38.2688° N,140.8694° E,3107.390602,Hideki MatsuyamaNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
Wyndham Clark,"Denver, Colorado",39.7392° N,104.9903° W,575.2117297,Wyndham ClarkNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
Tyrrell Hatton,"High Wycombe, England",51.6291° N,0.7493° W,1860.831647,Tyrrell HattonNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
Justin Thomas,"Louisville, Kentucky",38.2527° N,85.7585° W,159.9593139,Justin ThomasNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
Tommy Fleetwood,"Southport, England",53.6458° N,3.0100° W,1789.45513,Tommy FleetwoodNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
Bryson DeChambeau,"Modesto, California",37.6391° N,120.9969° W,1006.788325,Bryson DeChambeauNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
Patrick Cantlay,"Long Beach, California",33.7701° N,118.1937° W,991.1727327,Patrick CantlayNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
Maverick McNealy,"Stanford, California",37.4241° N,122.1661° W,1039.294738,Maverick McNealyNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
Viktor Hovland,"Oslo, Norway",59.9139° N,10.7522° E,1935.763049,Viktor HovlandNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
Keegan Bradley,"Woodstock, Vermont",43.6242° N,72.5185° W,270.8888795,Keegan BradleyNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
